strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2025-12-31,2026-01-02,271.755128277,1000,999.500249875,2.27373675443e-13,3.67794439137,0,1,1,3.67794439137,271.755128277,271.891005842,0.999500249875,0,0.499750124937,0,True,-0.000499750124937,-0.499750124937,-0.000499750124937,2025-12-31,2026-01-02,271.755128277,1000,999.500249875,2.27373675443e-13,3.67794439137,0,1,1,3.67794439137,271.755128277,271.891005842,0.999500249875,0,0.499750124937,0,True,-0.000499750124937,-0.499750124937,-0.000499750124937,2025-12-31,2026-01-02,271.755128277,1000,999.450302334,-99.9450302334,4.04553665477,0,1.1,1.1,4.04553665477,271.755128277,271.891005842,1.09939533257,0,0.549697666283,0,True,-0.000549697666283,-0.549697666283,-0.000549697666283,0
2026-01-02,2026-01-05,270.138141318,993.553061755,993.553061755,2.27373675443e-13,3.67794439137,1,1,1,0,270.138141318,270.138141318,0,0,0,0,False,-0.00595016171432,-5.94718812026,-0.00644693824519,2026-01-02,2026-01-05,270.138141318,993.553061755,993.553061755,2.27373675443e-13,3.67794439137,1,1,1,0,270.138141318,270.138141318,0,0,0,0,False,-0.00595016171432,-5.94718812026,-0.00644693824519,2026-01-02,2026-01-05,270.138141318,992.843005037,992.842641613,-99.2842641613,4.0428460063,1.10073168367,1.1,1.1,-0.00269064846609,270.138141318,270.003072247,0.000732086313628,0,0.000363423387784,0.0657172801534,True,-0.00661129493368,-6.60766072028,-0.00715735838656,0
2026-01-05,2026-01-06,266.504884488,980.190145175,980.190145175,2.27373675443e-13,3.67794439137,1,1,1,0,266.504884488,266.504884488,0,0,0,0,False,-0.0134496254843,-13.3629165794,-0.0198098548246,2026-01-05,2026-01-06,266.504884488,980.190145175,980.190145175,2.27373675443e-13,3.67794439137,1,1,1,0,266.504884488,266.504884488,0,0,0,0,False,-0.0134496254843,-13.3629165794,-0.0198098548246,2026-01-05,2026-01-06,266.504884488,978.132182815,978.131436001,-97.8131436001,4.03724149998,1.10152618106,1.1,1.1,-0.00560450632233,266.504884488,266.371632046,0.00152702092446,0,0.000746814155021,0.0217609346107,True,-0.0148172580389,-14.7112056128,-0.0218685639993,0
2026-01-06,2026-01-07,262.711932445,966.239878483,966.239878483,2.27373675443e-13,3.67794439137,1,1,1,0,262.711932445,262.711932445,0,0,0,0,False,-0.0142322045993,-13.9502666923,-0.0337601215169,2026-01-06,2026-01-07,262.711932445,966.239878483,966.239878483,2.27373675443e-13,3.67794439137,1,1,1,0,262.711932445,262.711932445,0,0,0,0,False,-0.0142322045993,-13.9502666923,-0.0337601215169,2026-01-06,2026-01-07,262.711932445,962.796934109,962.796156237,-96.2796156237,4.03131963594,1.10161497054,1.1,1.1,-0.00592186404057,262.711932445,262.580576479,0.00161585926446,0,0.000777872172887,0.0214384972274,True,-0.0156781381308,-15.3352797637,-0.0372038437631,0
2026-01-07,2026-01-08,256.543357845,943.552204131,943.552204131,2.27373675443e-13,3.67794439137,1,1,1,0,256.543357845,256.543357845,0,0,0,0,False,-0.023480374654,-22.6876743524,-0.0564477958693,2026-01-07,2026-01-08,256.543357845,943.552204131,943.552204131,2.27373675443e-13,3.67794439137,1,1,1,0,256.543357845,256.543357845,0,0,0,0,False,-0.023480374654,-22.6876743524,-0.0564477958693,2026-01-07,2026-01-08,256.543357845,937.907557945,937.906302273,-93.7906302273,4.02153047799,1.10267612963,1.1,1.1,-0.00978915794457,256.543357845,256.415086166,0.00267760231624,0,0.00125567172479,0.0211023815066,True,-0.0258516341203,-24.8898539635,-0.0620936977265,0
2026-01-08,2026-01-09,258.599536829,951.11471609,951.11471609,2.27373675443e-13,3.67794439137,1,1,1,0,258.599536829,258.599536829,0,0,0,0,False,0.00801493751629,7.56251195947,-0.0488852839098,2026-01-08,2026-01-09,258.599536829,951.11471609,951.11471609,2.27373675443e-13,3.67794439137,1,1,1,0,258.599536829,258.599536829,0,0,0,0,False,0.00801493751629,7.56251195947,-0.0488852839098,2026-01-08,2026-01-09,258.599536829,946.154731873,946.154329951,-94.6154329951,4.02463892902,1.09914994231,1.1,1.1,0.00310845102481,258.599536829,258.728836597,0.00084959041919,0,0.000401921997635,0.0205568504608,True,0.00879408492863,8.24802767729,-0.0538456700493,0
2026-01-09,2026-01-12,258.67938957,951.408410033,951.408410033,2.27373675443e-13,3.67794439137,1,1,1,0,258.67938957,258.67938957,0,0,0,0,False,0.000308789190363,0.293693943123,-0.0485915899667,2026-01-09,2026-01-12,258.67938957,951.408410033,951.408410033,2.27373675443e-13,3.67794439137,1,1,1,0,258.67938957,258.67938957,0,0,0,0,False,0.000308789190363,0.293693943123,-0.0485915899667,2026-01-09,2026-01-12,258.67938957,946.413495516,946.413477358,-94.6413477358,4.02449853784,1.10003835145,1.1,1.1,-0.000140391180667,258.67938957,258.550049875,3.83725560636e-05,0,1.8158152458e-05,0.0622128874488,True,0.000273895493208,0.259147406852,-0.0535865226424,0
2026-01-12,2026-01-13,258.240221689,949.793174986,949.793174986,2.27373675443e-13,3.67794439137,1,1,1,0,258.240221689,258.240221689,0,0,0,0,False,-0.00169773046987,-1.615235047,-0.0502068250137,2026-01-12,2026-01-13,258.240221689,949.793174986,949.793174986,2.27373675443e-13,3.67794439137,1,1,1,0,258.240221689,258.240221689,0,0,0,0,False,-0.00169773046987,-1.615235047,-0.0502068250137,2026-01-12,2026-01-13,258.240221689,944.625303551,944.625203716,-94.4625203716,4.02372534105,1.1002112591,1.1,1.1,-0.000773196782486,258.240221689,258.111101578,0.000211375354617,0,9.9835254259e-05,0.0207433090928,True,-0.00188952681306,-1.78827364171,-0.0553747962841,0
2026-01-13,2026-01-14,259.008775653,952.619873728,952.619873728,2.27373675443e-13,3.67794439137,1,1,1,0,259.008775653,259.008775653,0,0,0,0,False,0.00297612029241,2.82669874167,-0.047380126272,2026-01-13,2026-01-14,259.008775653,952.619873728,952.619873728,2.27373675443e-13,3.67794439137,1,1,1,0,259.008775653,259.008775653,0,0,0,0,False,0.00297612029241,2.82669874167,-0.047380126272,2026-01-13,2026-01-14,259.008775653,947.696949663,947.696806507,-94.7696806507,4.02483075923,1.09969771932,1.1,1.1,0.00110541817662,259.008775653,259.13828004,0.000302114519429,0,0.000143156504256,0.020704114054,True,0.00325166296497,3.0716027907,-0.0523031934934,0
2026-01-14,2026-01-15,260.166648391,956.878465273,956.878465273,2.27373675443e-13,3.67794439137,1,1,1,0,260.166648391,260.166648391,0,0,0,0,False,0.00447039964432,4.25859154469,-0.0431215347273,2026-01-14,2026-01-15,260.166648391,956.878465273,956.878465273,2.27373675443e-13,3.67794439137,1,1,1,0,260.166648391,260.166648391,0,0,0,0,False,0.00447039964432,4.25859154469,-0.0431215347273,2026-01-14,2026-01-15,260.166648391,952.336276883,952.336055417,-95.2336055417,4.02653325258,1.09953464379,1.1,1.1,0.0017024933478,260.166648391,260.296731715,0.000465100405138,0,0.000221465994103,0.0207714368549,True,0.00489528811188,4.63924891056,-0.0476639445829,0
