strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2024-12-31,2025-01-02,247.349677541,1000,998.003992016,0,4.03478994571,0,1,1,4.03478994571,247.349677541,247.844376896,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,2024-12-31,2025-01-02,247.349677541,1000,998.003992016,0,4.03478994571,0,1,1,4.03478994571,247.349677541,247.844376896,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,2024-12-31,2025-01-02,247.349677541,1000,997.804829375,-99.7804829375,4.43738323504,0,1.1,1.1,4.43738323504,247.349677541,247.844376896,1.09758531231,0,2.19517062463,0,True,-0.00219517062463,-2.19517062463,-0.00219517062463,0
2025-01-02,2025-01-03,241.815032959,975.672863704,975.672863704,0,4.03478994571,1,1,1,0,241.815032959,241.815032959,0,0,0,0,False,-0.0223757905686,-22.331128312,-0.024327136296,2025-01-02,2025-01-03,241.815032959,975.672863704,975.672863704,0,4.03478994571,1,1,1,0,241.815032959,241.815032959,0,0,0,0,False,-0.0223757905686,-22.331128312,-0.024327136296,2025-01-02,2025-01-03,241.815032959,973.212685754,973.207690727,-97.3207690727,4.42705503748,1.10256061079,1.1,1.1,-0.0103281975629,241.815032959,241.331402893,0.00256625655484,0,0.00499502686814,0.0328045423356,True,-0.0246512523537,-24.5971386487,-0.0267923092733,0
2025-01-03,2025-01-06,242.758973438,979.48146526,979.48146526,0,4.03478994571,1,1,1,0,242.758973438,242.758973438,0,0,0,0,False,0.00390356409149,3.8086015558,-0.0205185347402,2025-01-03,2025-01-06,242.758973438,979.48146526,979.48146526,0,4.03478994571,1,1,1,0,242.758973438,242.758973438,0,0,0,0,False,0.00390356409149,3.8086015558,-0.0205185347402,2025-01-03,2025-01-06,242.758973438,977.290579573,977.289956342,-97.7289956342,4.42833867992,1.09968044174,1.1,1.1,0.00128364244509,242.758973438,243.244491385,0.000318856774787,0,0.000623231444465,0.0959876078525,True,0.00419464997471,4.08226561529,-0.022710043658,0
2025-01-06,2025-01-07,241.437418183,974.149267402,974.149267402,0,4.03478994571,1,1,1,0,241.437418183,241.437418183,0,0,0,0,False,-0.00544389868168,-5.33219785745,-0.0258507325976,2025-01-06,2025-01-07,241.437418183,974.149267402,974.149267402,0,4.03478994571,1,1,1,0,241.437418183,241.437418183,0,0,0,0,False,-0.00544389868168,-5.33219785745,-0.0258507325976,2025-01-06,2025-01-07,241.437418183,971.405532006,971.404288124,-97.1404288124,4.42576268823,1.1006388398,1.1,1.1,-0.002575991695,241.437418183,240.954543347,0.000640248344908,0,0.0012438815682,0.0321300807564,True,-0.00602243804878,-5.88566821776,-0.0285957118758,0
2025-01-07,2025-01-08,240.384163267,969.899605056,969.899605056,0,4.03478994571,1,1,1,0,240.384163267,240.384163267,0,0,0,0,False,-0.00436243447339,-4.24966234634,-0.030100394944,2025-01-07,2025-01-08,240.384163267,969.899605056,969.899605056,0,4.03478994571,1,1,1,0,240.384163267,240.384163267,0,0,0,0,False,-0.00436243447339,-4.24966234634,-0.030100394944,2025-01-07,2025-01-08,240.384163267,966.710895235,966.709890473,-96.6709890473,4.4236727789,1.10051853752,1.1,1.1,-0.00208990933441,240.384163267,239.90339494,0.000519680815776,0,0.00100476221331,0.0319365793356,True,-0.00483258897296,-4.69439765107,-0.0332901095268,0
2025-01-08,2025-01-10,238.486286409,962.242070591,962.242070591,0,4.03478994571,1,1,1,0,238.486286409,238.486286409,0,0,0,0,False,-0.00789518257878,-7.657534465,-0.037757929409,2025-01-08,2025-01-10,238.486286409,962.242070591,962.242070591,0,4.03478994571,1,1,1,0,238.486286409,238.486286409,0,0,0,0,False,-0.00789518257878,-7.657534465,-0.037757929409,2025-01-08,2025-01-10,238.486286409,958.250739793,958.248916823,-95.8248916823,4.41985081985,1.10094910394,1.1,1.1,-0.00382195904987,238.486286409,238.009313836,0.00095119657388,0,0.00182296964122,0.0635644859489,True,-0.00875234000765,-8.46097365018,-0.041751083177,0
2025-01-10,2025-01-13,232.047423835,936.262612617,936.262612617,0,4.03478994571,1,1,1,0,232.047423835,232.047423835,0,0,0,0,False,-0.0269988797702,-25.9794579737,-0.0637373873827,2025-01-10,2025-01-13,232.047423835,936.262612617,936.262612617,0,4.03478994571,1,1,1,0,232.047423835,232.047423835,0,0,0,0,False,-0.0269988797702,-25.9794579737,-0.0637373873827,2025-01-10,2025-01-13,232.047423835,929.695592576,929.689679879,-92.9689679879,4.40711054217,1.10317291452,1.1,1.1,-0.0127402776755,232.047423835,231.583328987,0.00317991032459,0,0.00591269722711,0.0945122219332,True,-0.0298035681988,-28.5592369439,-0.070310320121,0
2025-01-13,2025-01-14,233.259710799,941.153935869,941.153935869,0,4.03478994571,1,1,1,0,233.259710799,233.259710799,0,0,0,0,False,0.00522430692604,4.89132325169,-0.058846064131,2025-01-13,2025-01-14,233.259710799,941.153935869,941.153935869,0,4.03478994571,1,1,1,0,233.259710799,233.259710799,0,0,0,0,False,0.00522430692604,4.89132325169,-0.058846064131,2025-01-13,2025-01-14,233.259710799,935.001797396,935.000798301,-93.5000798301,4.40925213621,1.09946455011,1.1,1.1,0.0021415940416,233.259710799,233.72623022,0.000534274488223,0,0.000999095213582,0.0305651401604,True,0.00571278625179,5.31111842165,-0.0649992016993,0
2025-01-14,2025-01-15,233.150388426,940.712843058,940.712843058,0,4.03478994571,1,1,1,0,233.150388426,233.150388426,0,0,0,0,False,-0.000468672333498,-0.441092811304,-0.0592871569424,2025-01-14,2025-01-15,233.150388426,940.712843058,940.712843058,0,4.03478994571,1,1,1,0,233.150388426,233.150388426,0,0,0,0,False,-0.000468672333498,-0.441092811304,-0.0592871569424,2025-01-14,2025-01-15,233.150388426,934.488028642,934.487864247,-93.4487864247,4.40889958457,1.10008776647,1.1,1.1,-0.000352551644144,233.150388426,232.684087649,8.79599847756e-05,0,0.000164395105545,0.0307397522729,True,-0.000548592102669,-0.512934053937,-0.0655121357532,0
2025-01-15,2025-01-16,235.843186092,951.57771601,951.57771601,0,4.03478994571,1,1,1,0,235.843186092,235.843186092,0,0,0,0,False,0.011549616902,10.8648729521,-0.0484222839903,2025-01-15,2025-01-16,235.843186092,951.57771601,951.57771601,0,4.03478994571,1,1,1,0,235.843186092,235.843186092,0,0,0,0,False,0.011549616902,10.8648729521,-0.0484222839903,2025-01-15,2025-01-16,235.843186092,946.329415873,946.327114072,-94.6327114072,4.41377952328,1.09878115141,1.1,1.1,0.00487993870988,235.843186092,236.314872465,0.00121617300907,0,0.00230180058655,0.0307228886876,True,0.0126692387119,11.8392498255,-0.0536728859278,0
2025-01-16,2025-01-17,230.646387415,930.609724954,930.424011578,-93.0424011578,4.43738323504,1,1.1,1.1,0.402593289334,230.646387415,231.107680189,0.0997804829375,0,0.185713375565,0,True,-0.0222301385114,-21.1537044313,-0.0695759884215,2025-01-16,2025-01-17,230.646387415,930.609724954,930.609724954,0,4.03478994571,1,1,1,0,230.646387415,230.646387415,0,0,0,0,False,-0.0220349748664,-20.9679910557,-0.069390275046,2025-01-16,2025-01-17,230.646387415,923.358478357,923.353812139,-92.3353812139,4.40366400159,1.10252120466,1.1,1.1,-0.0101155216901,230.646387415,230.18509464,0.00252676353695,0,0.00466621706928,0.0311121242983,True,-0.0242762799365,-22.9733019327,-0.0766461878605,-0.000195163645008
2025-01-17,2025-01-21,222.577929105,894.498812811,894.312109889,1.42108547152e-14,4.01797300157,1.1041530262,1,1,-0.419410233468,222.577929105,222.132773246,0.104361749701,0,0.186702922421,0.12235713029,True,-0.0388123062607,-36.1119016897,-0.105687890111,2025-01-17,2025-01-21,222.577929105,898.055190488,898.055190488,0,4.03478994571,1,1,1,0,222.577929105,222.577929105,0,0,0,0,False,-0.0349819409719,-32.5545344662,-0.101944809512,2025-01-17,2025-01-21,222.577929105,887.701605381,887.694215828,-88.7694215828,4.38706407836,1.1041530262,1.1,1.1,-0.0165999232256,222.577929105,222.132773246,0.00416218300434,0,0.00738955306968,0.121427350638,True,-0.0386196448669,-35.6595963113,-0.112305784172,-0.00383036528888
2025-01-21,2025-01-22,218.394666368,877.503873154,877.503873154,1.42108547152e-14,4.01797300157,1,1,1,0,218.394666368,218.394666368,0,0,0,0,False,-0.01879459816,-16.808236735,-0.122496126846,2025-01-21,2025-01-22,218.394666368,881.176604057,881.176604057,0,4.03478994571,1,1,1,0,218.394666368,218.394666368,0,0,0,0,False,-0.01879459816,-16.8785864307,-0.118823395943,2025-01-21,2025-01-22,218.394666368,869.312789678,869.309046789,-86.9309046789,4.37849498512,1.10214804971,1.1,1.1,-0.00856909324253,218.394666368,217.957877035,0.00215278583497,0,0.00374288851955,0.0291844673697,True,-0.0207111511048,-18.3851690389,-0.130690953211,0
