strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2024-12-31,2025-01-02,247.349677541,1000,999.000999001,2.27373675443e-13,4.03882070489,0,1,1,4.03882070489,247.349677541,247.597027218,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001,2024-12-31,2025-01-02,247.349677541,1000,999.000999001,2.27373675443e-13,4.03882070489,0,1,1,4.03882070489,247.349677541,247.597027218,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001,2024-12-31,2025-01-02,247.349677541,1000,998.90120867,-99.890120867,4.44225899327,0,1.1,1.1,4.44225899327,247.349677541,247.597027218,1.09879132954,0,1.09879132954,0,True,-0.00109879132954,-1.09879132954,-0.00109879132954,0
2025-01-02,2025-01-03,241.815032959,976.64756187,976.64756187,2.27373675443e-13,4.03882070489,1,1,1,0,241.815032959,241.815032959,0,0,0,0,False,-0.0223757905686,-22.3534371314,-0.0233524381305,2025-01-02,2025-01-03,241.815032959,976.64756187,976.64756187,2.27373675443e-13,4.03882070489,1,1,1,0,241.815032959,241.815032959,0,0,0,0,False,-0.0223757905686,-22.3534371314,-0.0233524381305,2025-01-02,2025-01-03,241.815032959,974.282043414,974.27954591,-97.427954591,4.4319308332,1.10256061079,1.1,1.1,-0.0103281600715,241.815032959,241.573217926,0.00256343056404,0,0.00249750436809,0.0328405876823,True,-0.0246487465894,-24.6216627604,-0.0257204540899,0
2025-01-03,2025-01-06,242.758973438,980.459968222,980.459968222,2.27373675443e-13,4.03882070489,1,1,1,0,242.758973438,242.758973438,0,0,0,0,False,0.00390356409149,3.81240635256,-0.0195400317779,2025-01-03,2025-01-06,242.758973438,980.459968222,980.459968222,2.27373675443e-13,4.03882070489,1,1,1,0,242.758973438,242.758973438,0,0,0,0,False,0.00390356409149,3.81240635256,-0.0195400317779,2025-01-03,2025-01-06,242.758973438,978.366931501,978.366619199,-97.8366619199,4.43321730141,1.09968044174,1.1,1.1,0.00128646821032,242.758973438,243.001732412,0.000319207131847,0,0.000312301702098,0.0960933250761,True,0.00419496981736,4.08707328876,-0.0216333808011,0
2025-01-06,2025-01-07,241.437418183,975.122443494,975.122443494,2.27373675443e-13,4.03882070489,1,1,1,0,241.437418183,241.437418183,0,0,0,0,False,-0.00544389868168,-5.33752472844,-0.0248775565063,2025-01-06,2025-01-07,241.437418183,975.122443494,975.122443494,2.27373675443e-13,4.03882070489,1,1,1,0,241.437418183,241.437418183,0,0,0,0,False,-0.00544389868168,-5.33752472844,-0.0248775565063,2025-01-06,2025-01-07,241.437418183,972.475712098,972.475090157,-97.2475090157,4.43064131162,1.1006388398,1.1,1.1,-0.00257598978255,241.437418183,241.195980765,0.000639543296175,0,0.000621940322365,0.0321654778915,True,-0.00602180095467,-5.89152904151,-0.0275249098426,0
2025-01-07,2025-01-08,240.384163267,970.86853573,970.86853573,2.27373675443e-13,4.03882070489,1,1,1,0,240.384163267,240.384163267,0,0,0,0,False,-0.00436243447339,-4.25390776327,-0.0291314642696,2025-01-07,2025-01-08,240.384163267,970.86853573,970.86853573,2.27373675443e-13,4.03882070489,1,1,1,0,240.384163267,240.384163267,0,0,0,0,False,-0.00436243447339,-4.25390776327,-0.0291314642696,2025-01-07,2025-01-08,240.384163267,967.77652363,967.776021249,-96.7776021249,4.4285514025,1.10051853752,1.1,1.1,-0.00208990912237,240.384163267,240.143779103,0.000519108537373,0,0.000502381055685,0.031971783786,True,-0.00483207123349,-4.69906890844,-0.0322239787511,0
2025-01-08,2025-01-10,238.486286409,963.203351381,963.203351381,2.27373675443e-13,4.03882070489,1,1,1,0,238.486286409,238.486286409,0,0,0,0,False,-0.00789518257878,-7.66518434958,-0.0367966486192,2025-01-08,2025-01-10,238.486286409,963.203351381,963.203351381,2.27373675443e-13,4.03882070489,1,1,1,0,238.486286409,238.486286409,0,0,0,0,False,-0.00789518257878,-7.66518434958,-0.0367966486192,2025-01-08,2025-01-10,238.486286409,959.30754144,959.306629955,-95.9306629955,4.42472944185,1.10094910394,1.1,1.1,-0.00382196065049,238.486286409,238.247800122,0.000950149105433,0,0.000911485202334,0.0636345876986,True,-0.00875139609618,-8.46939129433,-0.0406933700454,0
2025-01-10,2025-01-13,232.047423835,937.197939903,937.197939903,2.27373675443e-13,4.03882070489,1,1,1,0,232.047423835,232.047423835,0,0,0,0,False,-0.0269988797702,-26.0054114782,-0.0628020600974,2025-01-10,2025-01-13,232.047423835,937.197939903,937.197939903,2.27373675443e-13,4.03882070489,1,1,1,0,232.047423835,232.047423835,0,0,0,0,False,-0.0269988797702,-26.0054114782,-0.0628020600974,2025-01-10,2025-01-13,232.047423835,930.721788609,930.718832256,-93.0718832256,4.41198914671,1.10317291452,1.1,1.1,-0.012740295143,232.047423835,231.815376411,0.0031764085713,0,0.00295635266683,0.0946165443243,True,-0.0298004796441,-28.5877976984,-0.0692811677438,0
2025-01-13,2025-01-14,233.259710799,942.094149591,942.094149591,2.27373675443e-13,4.03882070489,1,1,1,0,233.259710799,233.259710799,0,0,0,0,False,0.00522430692604,4.8962096885,-0.0579058504089,2025-01-13,2025-01-14,233.259710799,942.094149591,942.094149591,2.27373675443e-13,4.03882070489,1,1,1,0,233.259710799,233.259710799,0,0,0,0,False,0.00522430692604,4.8962096885,-0.0579058504089,2025-01-13,2025-01-14,233.259710799,936.036830207,936.036329556,-93.6036329556,4.41413546723,1.09946455011,1.1,1.1,0.00214632052361,233.259710799,233.492970509,0.000534861544398,0,0.000500650104617,0.0305989753071,True,0.00571332298864,5.31749730029,-0.0639636704435,0
2025-01-14,2025-01-15,233.150388426,941.652616128,941.652616128,2.27373675443e-13,4.03882070489,1,1,1,0,233.150388426,233.150388426,0,0,0,0,False,-0.000468672333498,-0.441533463464,-0.0583473838724,2025-01-14,2025-01-15,233.150388426,941.652616128,941.652616128,2.27373675443e-13,4.03882070489,1,1,1,0,233.150388426,233.150388426,0,0,0,0,False,-0.000468672333498,-0.441533463464,-0.0583473838724,2025-01-14,2025-01-15,233.150388426,935.522991995,935.522909797,-93.5522909797,4.41378291379,1.10008776647,1.1,1.1,-0.000352553437985,233.150388426,232.917238037,8.78631222433e-05,0,8.21979710071e-05,0.0307737971361,True,-0.000548504094113,-0.513419759,-0.0644770902025,0
2025-01-15,2025-01-16,235.843186092,952.528343099,952.528343099,2.27373675443e-13,4.03882070489,1,1,1,0,235.843186092,235.843186092,0,0,0,0,False,0.011549616902,10.875726971,-0.0474716569014,2025-01-15,2025-01-16,235.843186092,952.528343099,952.528343099,2.27373675443e-13,4.03882070489,1,1,1,0,235.843186092,235.843186092,0,0,0,0,False,0.011549616902,10.875726971,-0.0474716569014,2025-01-15,2025-01-16,235.843186092,947.377577212,947.376423771,-94.7376423771,4.41867362553,1.09878115141,1.1,1.1,0.00489071173883,235.843186092,236.079029279,0.00121750932943,0,0.00115344103875,0.0307569175824,True,0.0126704689426,11.8535139737,-0.0526235762289,0
