strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2025-12-31,2026-01-02,271.755128277,1000,999.000999001,0,3.67610725631,0,1,1,3.67610725631,271.755128277,272.026883406,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001,2025-12-31,2026-01-02,271.755128277,1000,999.000999001,0,3.67610725631,0,1,1,3.67610725631,271.755128277,272.026883406,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001,2025-12-31,2026-01-02,271.755128277,1000,998.90120867,-99.890120867,4.04331405447,0,1.1,1.1,4.04331405447,271.755128277,272.026883406,1.09879132954,0,1.09879132954,0,True,-0.00109879132954,-1.09879132954,-0.00109879132954,0
2026-01-02,2026-01-05,270.138141318,993.056781504,993.056781504,0,3.67610725631,1,1,1,0,270.138141318,270.138141318,0,0,0,0,False,-0.00595016171432,-5.94421749682,-0.00694321849582,2026-01-02,2026-01-05,270.138141318,993.056781504,993.056781504,0,3.67610725631,1,1,1,0,270.138141318,270.138141318,0,0,0,0,False,-0.00595016171432,-5.94421749682,-0.00694321849582,2026-01-02,2026-01-05,270.138141318,992.264700806,992.263937795,-99.2263937795,4.04048952973,1.10076811414,1.1,1.1,-0.0028245247368,270.138141318,269.868003176,0.000768959998157,0,0.000763011862504,0.0985217630469,True,-0.00664457187391,-6.63727087595,-0.00773606220548,0
2026-01-05,2026-01-06,266.504884488,979.700539708,979.700539708,0,3.67610725631,1,1,1,0,266.504884488,266.504884488,0,0,0,0,False,-0.0134496254843,-13.3562417959,-0.0202994602917,2026-01-05,2026-01-06,266.504884488,979.700539708,979.700539708,0,3.67610725631,1,1,1,0,266.504884488,266.504884488,0,0,0,0,False,-0.0134496254843,-13.3562417959,-0.0202994602917,2026-01-05,2026-01-06,266.504884488,977.551179239,977.549673685,-97.7549673685,4.03484027364,1.10153843427,1.1,1.1,-0.00564925608869,266.504884488,266.238379603,0.00154012840794,0,0.00150555434136,0.0326223760371,True,-0.0148289820373,-14.7142641098,-0.0224503263153,0
2026-01-06,2026-01-07,262.711932445,965.757241181,965.757241181,0,3.67610725631,1,1,1,0,262.711932445,262.711932445,0,0,0,0,False,-0.0142322045993,-13.9432985271,-0.0342427588188,2026-01-06,2026-01-07,262.711932445,965.757241181,965.757241181,0,3.67610725631,1,1,1,0,262.711932445,262.711932445,0,0,0,0,False,-0.0142322045993,-13.9432985271,-0.0342427588188,2026-01-06,2026-01-07,262.711932445,962.213579407,962.212011935,-96.2212011935,4.02887376785,1.10162723545,1.1,1.1,-0.00596650579231,262.711932445,262.449220513,0.0016290273804,0,0.00156747226664,0.0321386194088,True,-0.0156899052422,-15.3376617497,-0.0377879880649,0
2026-01-07,2026-01-08,256.543357845,943.080899333,943.080899333,0,3.67610725631,1,1,1,0,256.543357845,256.543357845,0,0,0,0,False,-0.023480374654,-22.6763418477,-0.0569191006666,2026-01-07,2026-01-08,256.543357845,943.080899333,943.080899333,0,3.67610725631,1,1,1,0,256.543357845,256.543357845,0,0,0,0,False,-0.023480374654,-22.6763418477,-0.0569191006666,2026-01-07,2026-01-08,256.543357845,937.327969177,937.325446363,-93.7325446363,4.01903989899,1.10268853456,1.1,1.1,-0.00983386886184,256.543357845,256.286814487,0.00269149520913,0,0.00252281373843,0.0316343675157,True,-0.0258639107214,-24.8865655717,-0.0626745536367,0
2026-01-08,2026-01-09,258.599536829,950.639633814,950.639633814,0,3.67610725631,1,1,1,0,258.599536829,258.599536829,0,0,0,0,False,0.00801493751629,7.55873448097,-0.0493603661856,2026-01-08,2026-01-09,258.599536829,950.639633814,950.639633814,0,3.67610725631,1,1,1,0,258.599536829,258.599536829,0,0,0,0,False,0.00801493751629,7.55873448097,-0.0493603661856,2026-01-08,2026-01-09,258.599536829,945.558495558,945.55770394,-94.555770394,4.02210107214,1.0991618829,1.1,1.1,0.00306117315731,258.599536829,258.858136365,0.000837196180196,0,0.000791617960632,0.0308161790585,True,0.00878271000585,8.23225757652,-0.0544422960602,0
2026-01-09,2026-01-12,258.67938957,950.933181057,950.933181057,0,3.67610725631,1,1,1,0,258.67938957,258.67938957,0,0,0,0,False,0.000308789190363,0.293547242852,-0.0490668189427,2026-01-09,2026-01-12,258.67938957,950.933181057,950.933181057,0,3.67610725631,1,1,1,0,258.67938957,258.67938957,0,0,0,0,False,0.000308789190363,0.293547242852,-0.0490668189427,2026-01-09,2026-01-12,258.67938957,945.785619252,945.785548705,-94.5785548705,4.02182835403,1.10007450838,1.1,1.1,-0.000272718116511,258.67938957,258.420710181,7.4590429869e-05,0,7.05465559039e-05,0.093260485868,True,0.000240963364004,0.227844765201,-0.054214451295,0
2026-01-12,2026-01-13,258.240221689,949.318752821,949.318752821,0,3.67610725631,1,1,1,0,258.240221689,258.240221689,0,0,0,0,False,-0.00169773046987,-1.61442823629,-0.050681247179,2026-01-12,2026-01-13,258.240221689,949.318752821,949.318752821,0,3.67610725631,1,1,1,0,258.240221689,258.240221689,0,0,0,0,False,-0.00169773046987,-1.61442823629,-0.050681247179,2026-01-12,2026-01-13,258.240221689,943.988196547,943.987985486,-94.3987985486,4.0210110464,1.10022333916,1.1,1.1,-0.00081730762808,258.240221689,257.981981467,0.000223585108199,0,0.000211061703063,0.0310943194095,True,-0.00190060338939,-1.79756321951,-0.0560120145145,0
2026-01-13,2026-01-14,259.008775653,952.144039625,952.144039625,0,3.67610725631,1,1,1,0,259.008775653,259.008775653,0,0,0,0,False,0.00297612029241,2.82528680424,-0.0478559603748,2026-01-13,2026-01-14,259.008775653,952.144039625,952.144039625,0,3.67610725631,1,1,1,0,259.008775653,259.008775653,0,0,0,0,False,0.00297612029241,2.82528680424,-0.0478559603748,2026-01-13,2026-01-14,259.008775653,947.047314243,947.047039648,-94.7047039648,4.02207122515,1.09970973187,1.1,1.1,0.00106017874683,259.008775653,259.267784428,0.000289949187395,0,0.00027459559919,0.0310352214406,True,0.00324056472046,3.0590541623,-0.0529529603522,0
2026-01-14,2026-01-15,260.166648391,956.400504001,956.400504001,0,3.67610725631,1,1,1,0,260.166648391,260.166648391,0,0,0,0,False,0.00447039964432,4.25646437608,-0.0435994959987,2026-01-14,2026-01-15,260.166648391,956.400504001,956.400504001,0,3.67610725631,1,1,1,0,260.166648391,260.166648391,0,0,0,0,False,0.00447039964432,4.25646437608,-0.0435994959987,2026-01-14,2026-01-15,260.166648391,951.672950479,951.672519498,-95.1672519498,4.02372778341,1.09954663491,1.1,1.1,0.00165655826122,260.166648391,260.42681504,0.000452866933404,0,0.000430981210687,0.0311357930843,True,0.00488410781743,4.62547984982,-0.0483274805023,0
