strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2023-12-29,2024-01-02,185.0552731,1000,999.450302334,-99.9450302334,5.94090248903,0,1.1,1.1,5.94090248903,185.0552731,185.147800736,1.09939533257,0,0.549697666283,0,True,-0.000549697666283,-0.549697666283,-0.000549697666283,2023-12-29,2024-01-02,185.0552731,1000,999.500249875,2.27373675443e-13,5.40109035064,0,1,1,5.40109035064,185.0552731,185.147800736,0.999500249875,0,0.499750124937,0,True,-0.000499750124937,-0.499750124937,-0.000499750124937,2023-12-29,2024-01-02,185.0552731,1000,999.450302334,-99.9450302334,5.94090248903,0,1.1,1.1,5.94090248903,185.0552731,185.147800736,1.09939533257,0,0.549697666283,0,True,-0.000549697666283,-0.549697666283,-0.000549697666283,-4.99475413461e-05
2024-01-02,2024-01-03,182.158096385,982.216552218,982.215679098,-98.2215679098,5.93131608448,1.10177687982,1.1,1.1,-0.00958640455137,182.158096385,182.067017337,0.00177785764281,0,0.000873120602127,0.0219057600511,True,-0.0172441022788,-17.234623236,-0.0177843209023,2024-01-02,2024-01-03,182.158096385,983.852336677,983.852336677,2.27373675443e-13,5.40109035064,1,1,1,0,182.158096385,182.158096385,0,0,0,0,False,-0.0156557371543,-15.6479131977,-0.0161476633227,2024-01-02,2024-01-03,182.158096385,982.216552218,982.215679098,-98.2215679098,5.93131608448,1.10177687982,1.1,1.1,-0.00958640455137,182.158096385,182.067017337,0.00177785764281,0,0.000873120602127,0.0219057600511,True,-0.0172441022788,-17.234623236,-0.0177843209023,-0.00158836512447
2024-01-03,2024-01-04,180.11123597,970.053574982,970.052955772,-97.0052955772,5.92444022496,1.10127594852,1.1,1.1,-0.00687585952402,180.11123597,180.021180352,0.00127665068113,0,0.000619209778614,0.0215280148843,True,-0.012382945604,-12.1627233257,-0.029947044228,2024-01-03,2024-01-04,180.11123597,972.797058642,972.797058642,2.27373675443e-13,5.40109035064,1,1,1,0,180.11123597,180.11123597,0,0,0,0,False,-0.0112367248858,-11.0552780355,-0.0272029413582,2024-01-03,2024-01-04,180.11123597,970.053574982,970.052955772,-97.0052955772,5.92444022496,1.10127594852,1.1,1.1,-0.00687585952402,180.11123597,180.021180352,0.00127665068113,0,0.000619209778614,0.0215280148843,True,-0.012382945604,-12.1627233257,-0.029947044228,-0.00114622071819
2024-01-04,2024-01-05,179.953046197,969.094508483,969.045970936,-5.68434188608e-14,5.38499342697,1.10012084081,1,1,-0.539446797987,179.953046197,179.863069674,0.100170926271,0,0.0485375472796,0.0212614346471,True,-0.00103807202483,-1.00698483599,-0.030954029064,2024-01-04,2024-01-05,179.953046197,971.942661386,971.942661386,2.27373675443e-13,5.40109035064,1,1,1,0,179.953046197,179.953046197,0,0,0,0,False,-0.000878289308837,-0.854397256273,-0.0280573386144,2024-01-04,2024-01-05,179.953046197,969.094508483,969.094449898,-96.9094449898,5.92378910729,1.10012084081,1.1,1.1,-0.000651117665571,179.953046197,179.863069674,0.000120907307107,0,5.85853036762e-05,0.0212614346471,True,-0.000988096441863,-0.958505874017,-0.030905550102,-0.000159782715996
2024-01-05,2024-01-08,180.051900532,969.578300879,969.578300879,-5.68807953554e-14,5.38499342697,1,1,1,0,180.051900532,180.051900532,0,0,0,3.73764945934e-17,False,0.000549334044463,0.532329942485,-0.0304216991215,2024-01-05,2024-01-08,180.051900532,972.476582579,972.476582579,2.27373675443e-13,5.40109035064,1,1,1,0,180.051900532,180.051900532,0,0,0,0,False,0.000549334044463,0.533921193165,-0.0275234174213,2024-01-05,2024-01-08,180.051900532,969.61632085,969.61631508,-96.961631508,5.92372501171,1.10001189562,1.1,1.1,-6.4095579918e-05,180.051900532,179.961874582,1.19021624655e-05,0,5.77026548997e-06,0.0637212788974,True,0.000538508069966,0.521865181829,-0.0303836849201,0
2024-01-08,2024-01-09,181.861418292,979.322542122,979.273602911,-97.9273602911,5.92319675784,1,1.1,1.1,0.538203330865,181.861418292,181.952349001,0.0999450302334,0,0.0489392105403,1.24670236395e-17,True,0.00999950393279,9.69530203279,-0.0207263970887,2024-01-08,2024-01-09,181.861418292,982.249951491,982.249951491,2.27373675443e-13,5.40109035064,1,1,1,0,181.861418292,181.861418292,0,0,0,0,False,0.0100499786706,9.7733689126,-0.0177500485087,2024-01-08,2024-01-09,181.861418292,980.314148829,980.313624852,-98.0313624852,5.92948739466,1.09893041275,1.1,1.1,0.00576238294527,181.861418292,181.952349001,0.00106899929621,0,0.000523977567584,0.0212518644401,True,0.0110325183327,10.6973097718,-0.0196863751484,-5.04747378278e-05
2024-01-09,2024-01-10,182.286616409,981.770671489,981.77055743,-98.177055743,5.92444818192,1.0997675187,1.1,1.1,0.00125142408358,182.286616409,182.377759717,0.000232353510359,0,0.000114058930944,0.0214635310227,True,0.00254980274256,2.49695451842,-0.0182294425703,2024-01-09,2024-01-10,182.286616409,984.546484938,984.546484938,2.27373675443e-13,5.40109035064,1,1,1,0,182.286616409,182.286616409,0,0,0,0,False,0.00233803365798,2.29653344713,-0.0154535150615,2024-01-09,2024-01-10,182.286616409,982.813345401,982.813231221,-98.2813231221,5.9307401478,1.0997675187,1.1,1.1,0.0012527531386,182.286616409,182.377759717,0.000232353510359,0,0.000114180065416,0.0214863260241,True,0.00254980274256,2.49960636921,-0.0171867687792,0.000211769084582
2024-01-10,2024-01-11,184.452104996,994.57836409,994.577734805,-99.4577734805,5.93127147187,1.09873387311,1.1,1.1,0.00682328994657,184.452104996,184.544331048,0.00126543089924,0,0.000629285096819,0.021518258793,True,0.0130449800907,12.8071773753,-0.00542226519497,2024-01-10,2024-01-11,184.452104996,996.242484447,996.242484447,2.27373675443e-13,5.40109035064,1,1,1,0,184.452104996,184.452104996,0,0,0,0,False,0.0118795807896,11.6959995089,-0.00375751555264,2024-01-10,2024-01-11,184.452104996,995.634640208,995.634010255,-99.5634010255,5.93757068431,1.09873387311,1.1,1.1,0.00683053651303,184.452104996,184.544331048,0.00126543089924,0,0.000629953419038,0.0215411119172,True,0.0130449800907,12.8207790341,-0.00436598974504,0.00116539930112
2024-01-11,2024-01-12,183.977497981,991.740912795,991.74075997,-99.174075997,5.92961013135,1.10030802517,1.1,1.1,-0.00166134052012,183.977497981,183.885509232,0.000308194678915,0,0.000152824636093,0.0217989640505,True,-0.00285244152941,-2.83697483498,-0.00825924002996,2024-01-11,2024-01-12,183.977497981,993.67908908,993.67908908,2.27373675443e-13,5.40109035064,1,1,1,0,183.977497981,183.977497981,0,0,0,0,False,-0.00257306369398,-2.56339536713,-0.00632091091977,2024-01-11,2024-01-12,183.977497981,992.794175443,992.794022456,-99.2794022456,5.93590757939,1.10030802517,1.1,1.1,-0.00166310492037,183.977497981,183.885509232,0.000308194678914,0,0.000152986941064,0.0218221152933,True,-0.00285244152941,-2.83998779894,-0.00720597754399,-0.000279377835427
2024-01-12,2024-01-16,180.121143815,968.787136102,968.785944292,-96.8785944292,5.91637670154,1.10245906395,1.1,1.1,-0.0132334298058,180.121143815,180.031083243,0.00246041717978,0,0.00119181025661,0.0869471351207,True,-0.0231459839153,-22.9548156784,-0.0312140557084,2024-01-12,2024-01-16,180.121143815,972.850571805,972.850571805,2.27373675443e-13,5.40109035064,1,1,1,0,180.121143815,180.121143815,0,0,0,0,False,-0.0209610099516,-20.8285172749,-0.0271494281947,2024-01-12,2024-01-16,180.121143815,969.816021057,969.814827981,-96.9814827981,5.92266009523,1.10245906395,1.1,1.1,-0.0132474841593,180.121143815,180.031083243,0.00246041717978,0,0.00119307599972,0.0870394759413,True,-0.0231459839153,-22.979194475,-0.030185172019,-0.00218497396371
