strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,static_1_10_decision_date,static_1_10_fill_date,static_1_10_adjusted_open,static_1_10_equity_before_fill,static_1_10_equity,static_1_10_cash,static_1_10_shares,static_1_10_holding_exposure_for_return,static_1_10_target_exposure,static_1_10_new_exposure_after_fill,static_1_10_signed_share_delta,static_1_10_reference_price,static_1_10_fill_price,static_1_10_turnover,static_1_10_fees,static_1_10_slippage,static_1_10_margin_interest,static_1_10_trade_executed,static_1_10_daily_return,static_1_10_monetary_pnl,static_1_10_drawdown,active_daily_return
2025-12-31,2026-01-02,271.755128277,1000,997.804829375,-99.7804829375,4.03887617235,0,1.1,1.1,4.03887617235,271.755128277,272.298638534,1.09758531231,0,2.19517062463,0,True,-0.00219517062463,-2.19517062463,-0.00219517062463,2025-12-31,2026-01-02,271.755128277,1000,998.003992016,0,3.6724384866,0,1,1,3.6724384866,271.755128277,272.298638534,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,2025-12-31,2026-01-02,271.755128277,1000,997.804829375,-99.7804829375,4.03887617235,0,1.1,1.1,4.03887617235,271.755128277,272.298638534,1.09758531231,0,2.19517062463,0,True,-0.00219517062463,-2.19517062463,-0.00219517062463,-0.000199162640594
2026-01-02,2026-01-05,270.138141318,991.175605645,991.174079616,-99.1174079616,4.03605163736,1.10076811414,1.1,1.1,-0.00282453498987,270.138141318,269.597865035,0.000769807719142,0,0.0015260292645,0.0984136270069,True,-0.00664533740926,-6.63074975979,-0.00882592038442,2026-01-02,2026-01-05,270.138141318,992.065706872,992.065706872,0,3.6724384866,1,1,1,0,270.138141318,270.138141318,0,0,0,0,False,-0.00595016171432,-5.93828514403,-0.00793429312806,2026-01-02,2026-01-05,270.138141318,991.175605645,991.174079616,-99.1174079616,4.03605163736,1.10076811414,1.1,1.1,-0.00282453498987,270.138141318,269.597865035,0.000769807719142,0,0.0015260292645,0.0984136270069,True,-0.00664533740926,-6.63074975979,-0.00882592038442,-0.000695175694947
2026-01-05,2026-01-06,266.504884488,976.477480894,976.474469777,-97.6474469777,4.03040236512,1.10153843427,1.1,1.1,-0.00564927224193,266.504884488,265.971874719,0.00154182628451,0,0.00301111729255,0.0325865450833,True,-0.0148305026749,-14.699609839,-0.0235255302234,2026-01-05,2026-01-06,266.504884488,978.722794659,978.722794659,0,3.6724384866,1,1,1,0,266.504884488,266.504884488,0,0,0,0,False,-0.0134496254843,-13.3429122132,-0.0212772053413,2026-01-05,2026-01-06,266.504884488,976.477480894,976.474469777,-97.6474469777,4.03040236512,1.10153843427,1.1,1.1,-0.00564927224193,266.504884488,265.971874719,0.00154182628451,0,0.00301111729255,0.0325865450833,True,-0.0148305026749,-14.699609839,-0.0235255302234,-0.00138087719058
2026-01-06,2026-01-07,262.711932445,961.155243623,961.152108674,-96.1152108674,4.02443585147,1.10162723545,1.1,1.1,-0.00596651364321,262.711932445,262.18650858,0.00163082326145,0,0.00313494865833,0.0321032702392,True,-0.0156915122483,-15.3223611027,-0.0388478913261,2026-01-06,2026-01-07,262.711932445,964.793411599,964.793411599,0,3.6724384866,1,1,1,0,262.711932445,262.711932445,0,0,0,0,False,-0.0142322045993,-13.9293830595,-0.0352065884009,2026-01-06,2026-01-07,262.711932445,961.155243623,961.152108674,-96.1152108674,4.02443585147,1.10162723545,1.1,1.1,-0.00596651364321,262.711932445,262.18650858,0.00163082326145,0,0.00313494865833,0.0321032702392,True,-0.0156915122483,-15.3223611027,-0.0388478913261,-0.00145930764908
2026-01-07,2026-01-08,256.543357845,936.29547638,936.290430754,-93.6290430754,4.01460198573,1.10268853456,1.1,1.1,-0.00983386574651,256.543357845,256.030271129,0.00269446238164,0,0.00504562587842,0.0315995213811,True,-0.0258665383919,-24.8616779195,-0.0637095692456,2026-01-07,2026-01-08,256.543357845,942.139700831,942.139700831,0,3.6724384866,1,1,1,0,256.543357845,256.543357845,0,0,0,0,False,-0.023480374654,-22.653710768,-0.0578602991689,2026-01-07,2026-01-08,256.543357845,936.29547638,936.290430754,-93.6290430754,4.01460198573,1.10268853456,1.1,1.1,-0.00983386574651,256.543357845,256.030271129,0.00269446238164,0,0.00504562587842,0.0315995213811,True,-0.0258665383919,-24.8616779195,-0.0637095692456,-0.00238616373795
2026-01-08,2026-01-09,258.599536829,944.514388833,944.512809081,-94.4512809081,4.01765642248,1.0991618829,1.1,1.1,0.00305443675319,258.599536829,259.116735902,0.000836277285965,0,0.0015797518593,0.0307821511481,True,0.00878186731005,8.22237832655,-0.0554871909191,2026-01-08,2026-01-09,258.599536829,949.690891665,949.690891665,0,3.6724384866,1,1,1,0,258.599536829,258.599536829,0,0,0,0,False,0.00801493751629,7.55119083378,-0.0503091083351,2026-01-08,2026-01-09,258.599536829,944.514388833,944.512809081,-94.4512809081,4.01765642248,1.0991618829,1.1,1.1,0.00305443675319,258.599536829,259.116735902,0.000836277285965,0,0.0015797518593,0.0307821511481,True,0.00878186731005,8.22237832655,-0.0554871909191,0.000766929793754
2026-01-09,2026-01-12,258.67938957,944.740472533,944.740331441,-94.4740331441,4.01738370541,1.10007450838,1.1,1.1,-0.000272717066658,258.67938957,258.162030791,7.46726602485e-05,0,0.000141092568657,0.093157427745,True,0.000240888591094,0.22752235985,-0.0552596685592,2026-01-09,2026-01-12,258.67938957,949.984145946,949.984145946,0,3.6724384866,1,1,1,0,258.67938957,258.67938957,0,0,0,0,False,0.000308789190363,0.293254281532,-0.0500158540536,2026-01-09,2026-01-12,258.67938957,944.740472533,944.740331441,-94.4740331441,4.01738370541,1.10007450838,1.1,1.1,-0.000272717066658,258.67938957,258.162030791,7.46726602485e-05,0,0.000141092568657,0.093157427745,True,0.000240888591094,0.22752235985,-0.0552596685592,-6.79005992685e-05
2026-01-12,2026-01-13,258.240221689,942.944965593,942.944543471,-94.2944543471,4.01656640099,1.10022333916,1.1,1.1,-0.000817304420685,258.240221689,257.723741245,0.000223831594087,0,0.00042212174957,0.0310599561022,True,-0.00190082704164,-1.79578796933,-0.0570554565285,2026-01-12,2026-01-13,258.240221689,948.371328916,948.371328916,0,3.6724384866,1,1,1,0,258.240221689,258.240221689,0,0,0,0,False,-0.00169773046987,-1.61281703046,-0.051628671084,2026-01-12,2026-01-13,258.240221689,942.944965593,942.944543471,-94.2944543471,4.01656640099,1.10022333916,1.1,1.1,-0.000817304420685,258.240221689,257.723741245,0.000223831594087,0,0.00042212174957,0.0310599561022,True,-0.00190082704164,-1.79578796933,-0.0570554565285,-0.000203096571773
2026-01-13,2026-01-14,259.008775653,946.000490584,945.999942602,-94.5999942602,4.01762424551,1.09970973187,1.1,1.1,0.00105784452237,259.008775653,259.526793204,0.000289630943426,0,0.000547982029139,0.0310009164977,True,0.00324027447013,3.05539913096,-0.0540000573976,2026-01-13,2026-01-14,259.008775653,951.193796073,951.193796073,0,3.6724384866,1,1,1,0,259.008775653,259.008775653,0,0,0,0,False,0.00297612029241,2.82246715673,-0.0488062039273,2026-01-13,2026-01-14,259.008775653,946.000490584,945.999942602,-94.5999942602,4.01762424551,1.09970973187,1.1,1.1,0.00105784452237,259.008775653,259.526793204,0.000289630943426,0,0.000547982029139,0.0310009164977,True,0.00324027447013,3.05539913096,-0.0540000573976,0.000264154177722
2026-01-14,2026-01-15,260.166648391,950.620738822,950.619878758,-95.0619878758,4.01927715601,1.09954663491,1.1,1.1,0.00165291049351,260.166648391,260.686981688,0.00045236987331,0,0.000860064366373,0.031101367976,True,0.00488365373742,4.61993615529,-0.0493801212423,2026-01-14,2026-01-15,260.166648391,955.44601248,955.44601248,0,3.6724384866,1,1,1,0,260.166648391,260.166648391,0,0,0,0,False,0.00447039964432,4.25221640764,-0.0445539875197,2026-01-14,2026-01-15,260.166648391,950.620738822,950.619878758,-95.0619878758,4.01927715601,1.09954663491,1.1,1.1,0.00165291049351,260.166648391,260.686981688,0.00045236987331,0,0.000860064366373,0.031101367976,True,0.00488365373742,4.61993615529,-0.0493801212423,0.000413254093098
2026-01-15,2026-01-16,257.421721819,939.556004836,939.553724538,-93.9553724538,4.01484804657,1.10121082793,1.1,1.1,-0.00442910943239,257.421721819,256.906878376,0.00121349762052,0,0.00228029795242,0.0312532562879,True,-0.0116409875987,-11.0661542197,-0.060446275462,2026-01-15,2026-01-16,257.421721819,945.365438495,945.365438495,0,3.6724384866,1,1,1,0,257.421721819,257.421721819,0,0,0,0,False,-0.0105506473981,-10.0805739856,-0.0546345615053,2026-01-15,2026-01-16,257.421721819,939.556004836,939.553724538,-93.9553724538,4.01484804657,1.10121082793,1.1,1.1,-0.00442910943239,257.421721819,256.906878376,0.00121349762052,0,0.00228029795242,0.0312532562879,True,-0.0116409875987,-11.0661542197,-0.060446275462,-0.00109034020058
2026-01-16,2026-01-20,252.261324475,918.711955593,918.707530388,-91.8707530388,4.00607697406,1.10240307599,1.1,1.1,-0.00877107251552,252.261324475,251.756801826,0.00240837441634,0,0.00442520473967,0.123557750076,True,-0.0221873359721,-20.8461941502,-0.0812924696122,2026-01-16,2026-01-20,252.261324475,926.414196683,926.414196683,0,3.6724384866,1,1,1,0,252.261324475,252.261324475,0,0,0,0,False,-0.0200464720201,-18.9512418116,-0.0735858033169,2026-01-16,2026-01-20,252.261324475,918.711955593,918.707530388,-91.8707530388,4.00607697406,1.10240307599,1.1,1.1,-0.00877107251552,252.261324475,251.756801826,0.00240837441634,0,0.00442520473967,0.123557750076,True,-0.0221873359721,-20.8461941502,-0.0812924696122,-0.00214086395202
2026-01-20,2026-01-21,248.238806041,902.562807828,902.559511223,-90.2559511223,3.99943698641,1.10182222924,1.1,1.1,-0.00663998764414,248.238806041,247.742328429,0.00182624698316,0,0.00329660520982,0.0302040831908,True,-0.0175768877809,-16.1480191651,-0.0974404887773,2026-01-20,2026-01-21,248.238806041,911.641745173,911.641745173,0,3.6724384866,1,1,1,0,248.238806041,248.238806041,0,0,0,0,False,-0.0159458388736,-14.7724515105,-0.0883582548274,2026-01-20,2026-01-21,248.238806041,902.562807828,902.559511223,-90.2559511223,3.99943698641,1.10182222924,1.1,1.1,-0.00663998764414,248.238806041,247.742328429,0.00182624698316,0,0.00329660520982,0.0302040831908,True,-0.0175768877809,-16.1480191651,-0.0974404887773,-0.00163104890729
2026-01-21,2026-01-22,248.737864641,904.525791455,904.525458279,-90.4525458279,4.00010672096,1.0998154228,1.1,1.1,0.000669734540544,248.737864641,249.23534037,0.000184172017056,0,0.000333176678983,0.0296731894101,True,0.00217819105705,1.9659470558,-0.0954745417215,2026-01-21,2026-01-22,248.737864641,913.474507181,913.474507181,0,3.6724384866,1,1,1,0,248.737864641,248.737864641,0,0,0,0,False,0.00201039719625,1.83276200848,-0.0865254928189,2026-01-21,2026-01-22,248.737864641,904.525791455,904.525458279,-90.4525458279,4.00010672096,1.0998154228,1.1,1.1,0.000669734540544,248.737864641,249.23534037,0.000184172017056,0,0.000333176678983,0.0296731894101,True,0.00217819105705,1.9659470558,-0.0954745417215,0.000167793860803
2026-01-22,2026-01-23,246.861366301,896.989526835,896.987956719,-89.6987956719,3.99692656317,1.10087328887,1.1,1.1,-0.00318015778328,246.861366301,246.367643569,0.000875214338571,0,0.00157011619087,0.0297378232859,True,-0.00833310051208,-7.53750155957,-0.103012043281,2026-01-22,2026-01-23,246.861366301,906.583182459,906.583182459,0,3.6724384866,1,1,1,0,246.861366301,246.861366301,0,0,0,0,False,-0.00754407995867,-6.89132472238,-0.0934168175413,2026-01-22,2026-01-23,246.861366301,896.989526835,896.987956719,-89.6987956719,3.99692656317,1.10087328887,1.1,1.1,-0.00318015778328,246.861366301,246.367643569,0.000875214338571,0,0.00157011619087,0.0297378232859,True,-0.00833310051208,-7.53750155957,-0.103012043281,-0.000789020553413
2026-01-23,2026-01-26,251.013650729,913.495862603,913.492744821,-91.3492744821,4.00313694647,1.09828973441,1.1,1.1,0.00621038329438,251.013650729,251.515678031,0.00170651126838,0,0.0031177819663,0.0884700450463,True,0.0184002337802,16.5047881016,-0.0865072551794,2026-01-23,2026-01-26,251.013650729,921.8321916,921.8321916,0,3.6724384866,1,1,1,0,251.013650729,251.013650729,0,0,0,0,False,0.0168203088654,15.2490091412,-0.0781678084001,2026-01-23,2026-01-26,251.013650729,913.495862603,913.492744821,-91.3492744821,4.00313694647,1.09828973441,1.1,1.1,0.00621038329438,251.013650729,251.515678031,0.00170651126838,0,0.0031177819663,0.0884700450463,True,0.0184002337802,16.5047881016,-0.0865072551794,0.00157992491474
2026-01-26,2026-01-27,258.689401527,944.189793792,944.183727792,-94.4183727792,4.01486143012,1.09678065546,1.1,1.1,0.011724483654,258.689401527,259.20678033,0.00321227753108,0,0.00606599931935,0.0300326381859,True,0.033597402,30.6909829718,-0.0558162722076,2026-01-26,2026-01-27,258.689401527,950.020914242,950.020914242,0,3.6724384866,1,1,1,0,258.689401527,258.689401527,0,0,0,0,False,0.0305790174167,28.1887226422,-0.0499790857579,2026-01-26,2026-01-27,258.689401527,944.189793792,944.183727792,-94.4183727792,4.01486143012,1.09678065546,1.1,1.1,0.011724483654,258.689401527,259.20678033,0.00321227753108,0,0.00606599931935,0.0300326381859,True,0.033597402,30.6909829718,-0.0558162722076,0.00301838458326
2026-01-27,2026-01-28,257.172194607,938.06131059,938.060021186,-93.8060021186,4.01235454277,1.10068575835,1.1,1.1,-0.0025068873477,257.172194607,256.657850217,0.000687270345298,0,0.00128940344168,0.0310416568041,True,-0.00648571504219,-6.12370660594,-0.0619399788136,2026-01-27,2026-01-28,257.172194607,944.449065156,944.449065156,0,3.6724384866,1,1,1,0,257.172194607,257.172194607,0,0,0,0,False,-0.0058649751838,-5.57184908612,-0.055550934844,2026-01-27,2026-01-28,257.172194607,938.06131059,938.060021186,-93.8060021186,4.01235454277,1.10068575835,1.1,1.1,-0.0025068873477,257.172194607,256.657850217,0.000687270345298,0,0.00128940344168,0.0310416568041,True,-0.00648571504219,-6.12370660594,-0.0619399788136,-0.000620739858397
2026-01-28,2026-01-29,257.521545862,939.430901952,939.430689923,-93.9430689923,4.01276621518,1.09988690201,1.1,1.1,0.000411672408899,257.521545862,258.036588953,0.000112849720941,0,0.000212029030257,0.0308403294637,True,0.00146117381113,1.37066873622,-0.0605693100774,2026-01-28,2026-01-29,257.521545862,945.73203615,945.73203615,0,3.6724384866,1,1,1,0,257.521545862,257.521545862,0,0,0,0,False,0.00135843322976,1.28297099392,-0.0542679638501,2026-01-28,2026-01-29,257.521545862,939.430901952,939.430689923,-93.9430689923,4.01276621518,1.09988690201,1.1,1.1,0.000411672408899,257.521545862,258.036588953,0.000112849720941,0,0.000212029030257,0.0308403294637,True,0.00146117381113,1.37066873622,-0.0605693100774,0.000102740581368
