strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2023-12-29,2024-01-02,185.055288483,1000,999.500249875,0,5.40108990167,0,1,1,5.40108990167,185.055288483,185.147816127,0.999500249875,0,0.499750124937,0,True,-0.000499750124938,-0.499750124938,-0.000499750124938,2023-12-29,2024-01-02,185.055288483,1000,999.500249875,0,5.40108990167,0,1,1,5.40108990167,185.055288483,185.147816127,0.999500249875,0,0.499750124937,0,True,-0.000499750124938,-0.499750124938,-0.000499750124938,0
2024-01-02,2024-01-03,182.158081129,983.852172493,983.852172493,0,5.40108990167,1,1,1,0,182.158081129,182.158081129,0,0,0,0,False,-0.0156559014208,-15.6480773821,-0.016147827507,2024-01-02,2024-01-03,182.158081129,983.852172493,983.852172493,0,5.40108990167,1,1,1,0,182.158081129,182.158081129,0,0,0,0,False,-0.0156559014208,-15.6480773821,-0.016147827507,0
2024-01-03,2024-01-04,180.111220691,972.796895254,972.796895254,0,5.40108990167,1,1,1,0,180.111220691,180.111220691,0,0,0,0,False,-0.0112367259511,-11.0552772387,-0.0272031047457,2024-01-03,2024-01-04,180.111220691,972.796895254,972.796895254,0,5.40108990167,1,1,1,0,180.111220691,180.111220691,0,0,0,0,False,-0.0112367259511,-11.0552772387,-0.0272031047457,0
2024-01-04,2024-01-05,179.953046197,971.942580592,971.942580592,0,5.40108990167,1,1,1,0,179.953046197,179.953046197,0,0,0,0,False,-0.000878204552872,-0.854314662432,-0.0280574194081,2024-01-04,2024-01-05,179.953046197,971.942580592,971.942580592,0,5.40108990167,1,1,1,0,179.953046197,179.953046197,0,0,0,0,False,-0.000878204552872,-0.854314662432,-0.0280574194081,0
2024-01-05,2024-01-08,180.051915505,972.476582614,972.476582614,0,5.40108990167,1,1,1,0,180.051915505,180.051915505,0,0,0,0,False,0.000549417251987,0.534002021718,-0.0275234173864,2024-01-05,2024-01-08,180.051915505,972.476582614,972.476582614,0,5.40108990167,1,1,1,0,180.051915505,180.051915505,0,0,0,0,False,0.000549417251987,0.534002021718,-0.0275234173864,0
2024-01-08,2024-01-09,181.861448608,982.250033583,982.250033583,0,5.40108990167,1,1,1,0,181.861448608,181.861448608,0,0,0,0,False,0.0100500630493,9.77345096927,-0.0177499664171,2024-01-08,2024-01-09,181.861448608,982.250033583,982.250033583,0,5.40108990167,1,1,1,0,181.861448608,181.861448608,0,0,0,0,False,0.0100500630493,9.77345096927,-0.0177499664171,0
2024-01-09,2024-01-10,182.286616409,984.546403097,984.546403097,0,5.40108990167,1,1,1,0,182.286616409,182.286616409,0,0,0,0,False,0.00233786656726,2.2963695142,-0.0154535969029,2024-01-09,2024-01-10,182.286616409,984.546403097,984.546403097,0,5.40108990167,1,1,1,0,182.286616409,182.286616409,0,0,0,0,False,0.00233786656726,2.2963695142,-0.0154535969029,0
2024-01-10,2024-01-11,184.452089659,996.242318798,996.242318798,0,5.40108990167,1,1,1,0,184.452089659,184.452089659,0,0,0,0,False,0.0118794966534,11.6959157007,-0.00375768120223,2024-01-10,2024-01-11,184.452089659,996.242318798,996.242318798,0,5.40108990167,1,1,1,0,184.452089659,184.452089659,0,0,0,0,False,0.0118794966534,11.6959157007,-0.00375768120223,0
2024-01-11,2024-01-12,183.977497981,993.67900648,993.67900648,0,5.40108990167,1,1,1,0,183.977497981,183.977497981,0,0,0,0,False,-0.00257298075953,-2.5633123181,-0.00632099352033,2024-01-11,2024-01-12,183.977497981,993.67900648,993.67900648,0,5.40108990167,1,1,1,0,183.977497981,183.977497981,0,0,0,0,False,-0.00257298075953,-2.5633123181,-0.00632099352033,0
2024-01-12,2024-01-16,180.121158951,972.850572691,972.850572691,0,5.40108990167,1,1,1,0,180.121158951,180.121158951,0,0,0,0,False,-0.0209609276772,-20.8284337892,-0.0271494273095,2024-01-12,2024-01-16,180.121158951,972.850572691,972.850572691,0,5.40108990167,1,1,1,0,180.121158951,180.121158951,0,0,0,0,False,-0.0209609276772,-20.8284337892,-0.0271494273095,0
