strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2024-12-31,2025-01-02,247.349661964,1000,998.003992016,0,4.0347901998,0,1,1,4.0347901998,247.349661964,247.844361288,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,2024-12-31,2025-01-02,247.349661964,1000,998.003992016,0,4.0347901998,0,1,1,4.0347901998,247.349661964,247.844361288,0.998003992016,0,1.99600798403,0,True,-0.00199600798403,-1.99600798403,-0.00199600798403,0
2025-01-02,2025-01-03,241.815032959,975.672925146,975.672925146,0,4.0347901998,1,1,1,0,241.815032959,241.815032959,0,0,0,0,False,-0.0223757290034,-22.3310668697,-0.0243270748537,2025-01-02,2025-01-03,241.815032959,975.672925146,975.672925146,0,4.0347901998,1,1,1,0,241.815032959,241.815032959,0,0,0,0,False,-0.0223757290034,-22.3310668697,-0.0243270748537,0
2025-01-03,2025-01-06,242.758973438,979.481526942,979.481526942,0,4.0347901998,1,1,1,0,242.758973438,242.758973438,0,0,0,0,False,0.00390356409149,3.80860179564,-0.0205184730581,2025-01-03,2025-01-06,242.758973438,979.481526942,979.481526942,0,4.0347901998,1,1,1,0,242.758973438,242.758973438,0,0,0,0,False,0.00390356409149,3.80860179564,-0.0205184730581,0
2025-01-06,2025-01-07,241.437448798,974.149452272,974.149452272,0,4.0347901998,1,1,1,0,241.437448798,241.437448798,0,0,0,0,False,-0.00544377257061,-5.33207466978,-0.0258505477278,2025-01-06,2025-01-07,241.437448798,974.149452272,974.149452272,0,4.0347901998,1,1,1,0,241.437448798,241.437448798,0,0,0,0,False,-0.00544377257061,-5.33207466978,-0.0258505477278,0
2025-01-07,2025-01-08,240.384178476,969.899727503,969.899727503,0,4.0347901998,1,1,1,0,240.384178476,240.384178476,0,0,0,0,False,-0.00436249772493,-4.24972476928,-0.0301002724971,2025-01-07,2025-01-08,240.384178476,969.899727503,969.899727503,0,4.0347901998,1,1,1,0,240.384178476,240.384178476,0,0,0,0,False,-0.00436249772493,-4.24972476928,-0.0301002724971,0
2025-01-08,2025-01-10,238.486286409,962.242131188,962.242131188,0,4.0347901998,1,1,1,0,238.486286409,238.486286409,0,0,0,0,False,-0.0078952453519,-7.65759631538,-0.0377578688125,2025-01-08,2025-01-10,238.486286409,962.242131188,962.242131188,0,4.0347901998,1,1,1,0,238.486286409,238.486286409,0,0,0,0,False,-0.0078952453519,-7.65759631538,-0.0377578688125,0
2025-01-10,2025-01-13,232.047423835,936.262671578,936.262671578,0,4.0347901998,1,1,1,0,232.047423835,232.047423835,0,0,0,0,False,-0.0269988797702,-25.9794596098,-0.0637373284223,2025-01-10,2025-01-13,232.047423835,936.262671578,936.262671578,0,4.0347901998,1,1,1,0,232.047423835,232.047423835,0,0,0,0,False,-0.0269988797702,-25.9794596098,-0.0637373284223,0
2025-01-13,2025-01-14,233.259695444,941.153933183,941.153933183,0,4.0347901998,1,1,1,0,233.259695444,233.259695444,0,0,0,0,False,0.00522424075447,4.89126160575,-0.0588460668165,2025-01-13,2025-01-14,233.259695444,941.153933183,941.153933183,0,4.0347901998,1,1,1,0,233.259695444,233.259695444,0,0,0,0,False,0.00522424075447,4.89126160575,-0.0588460668165,0
2025-01-14,2025-01-15,233.150388426,940.712902298,940.712902298,0,4.0347901998,1,1,1,0,233.150388426,233.150388426,0,0,0,0,False,-0.000468606536683,-0.441030885115,-0.0592870977016,2025-01-14,2025-01-15,233.150388426,940.712902298,940.712902298,0,4.0347901998,1,1,1,0,233.150388426,233.150388426,0,0,0,0,False,-0.000468606536683,-0.441030885115,-0.0592870977016,0
2025-01-15,2025-01-16,235.843186092,951.577775935,951.577775935,0,4.0347901998,1,1,1,0,235.843186092,235.843186092,0,0,0,0,False,0.011549616902,10.8648736363,-0.0484222240654,2025-01-15,2025-01-16,235.843186092,951.577775935,951.577775935,0,4.0347901998,1,1,1,0,235.843186092,235.843186092,0,0,0,0,False,0.011549616902,10.8648736363,-0.0484222240654,0
2025-01-16,2025-01-17,230.646402815,930.609845697,930.609845697,0,4.0347901998,1,1,1,0,230.646402815,230.646402815,0,0,0,0,False,-0.0220349095655,-20.9679302373,-0.0693901543026,2025-01-16,2025-01-17,230.646402815,930.609845697,930.609845697,0,4.0347901998,1,1,1,0,230.646402815,230.646402815,0,0,0,0,False,-0.0220349095655,-20.9679302373,-0.0693901543026,0
2025-01-17,2025-01-21,222.577929105,898.055247042,898.055247042,0,4.0347901998,1,1,1,0,222.577929105,222.577929105,0,0,0,0,False,-0.0349820054083,-32.5545986552,-0.101944752958,2025-01-17,2025-01-21,222.577929105,898.055247042,898.055247042,0,4.0347901998,1,1,1,0,222.577929105,222.577929105,0,0,0,0,False,-0.0349820054083,-32.5545986552,-0.101944752958,0
2025-01-21,2025-01-22,218.394666368,881.176659549,881.176659549,0,4.0347901998,1,1,1,0,218.394666368,218.394666368,0,0,0,0,False,-0.01879459816,-16.8785874936,-0.118823340451,2025-01-21,2025-01-22,218.394666368,881.176659549,881.176659549,0,4.0347901998,1,1,1,0,218.394666368,218.394666368,0,0,0,0,False,-0.01879459816,-16.8785874936,-0.118823340451,0
