strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,buy_hold_decision_date,buy_hold_fill_date,buy_hold_adjusted_open,buy_hold_equity_before_fill,buy_hold_equity,buy_hold_cash,buy_hold_shares,buy_hold_holding_exposure_for_return,buy_hold_target_exposure,buy_hold_new_exposure_after_fill,buy_hold_signed_share_delta,buy_hold_reference_price,buy_hold_fill_price,buy_hold_turnover,buy_hold_fees,buy_hold_slippage,buy_hold_margin_interest,buy_hold_trade_executed,buy_hold_daily_return,buy_hold_monetary_pnl,buy_hold_drawdown,active_daily_return
2024-12-31,2025-01-02,247.349661964,1000,999.000999001,0,4.03882095924,0,1,1,4.03882095924,247.349661964,247.597011626,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001,2024-12-31,2025-01-02,247.349661964,1000,999.000999001,0,4.03882095924,0,1,1,4.03882095924,247.349661964,247.597011626,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001,0
2025-01-02,2025-01-03,241.815032959,976.647623373,976.647623373,0,4.03882095924,1,1,1,0,241.815032959,241.815032959,0,0,0,0,False,-0.0223757290034,-22.3533756278,-0.0233523766268,2025-01-02,2025-01-03,241.815032959,976.647623373,976.647623373,0,4.03882095924,1,1,1,0,241.815032959,241.815032959,0,0,0,0,False,-0.0223757290034,-22.3533756278,-0.0233523766268,0
2025-01-03,2025-01-06,242.758973438,980.460029966,980.460029966,0,4.03882095924,1,1,1,0,242.758973438,242.758973438,0,0,0,0,False,0.00390356409149,3.81240659264,-0.0195399700341,2025-01-03,2025-01-06,242.758973438,980.460029966,980.460029966,0,4.03882095924,1,1,1,0,242.758973438,242.758973438,0,0,0,0,False,0.00390356409149,3.81240659264,-0.0195399700341,0
2025-01-06,2025-01-07,241.437448798,975.122628548,975.122628548,0,4.03882095924,1,1,1,0,241.437448798,241.437448798,0,0,0,0,False,-0.00544377257061,-5.3374014177,-0.0248773714518,2025-01-06,2025-01-07,241.437448798,975.122628548,975.122628548,0,4.03882095924,1,1,1,0,241.437448798,241.437448798,0,0,0,0,False,-0.00544377257061,-5.3374014177,-0.0248773714518,0
2025-01-07,2025-01-08,240.384178476,970.8686583,970.8686583,0,4.03882095924,1,1,1,0,240.384178476,240.384178476,0,0,0,0,False,-0.00436249772493,-4.25397024857,-0.0291313417004,2025-01-07,2025-01-08,240.384178476,970.8686583,970.8686583,0,4.03882095924,1,1,1,0,240.384178476,240.384178476,0,0,0,0,False,-0.00436249772493,-4.25397024857,-0.0291313417004,0
2025-01-08,2025-01-10,238.486286409,963.203412038,963.203412038,0,4.03882095924,1,1,1,0,238.486286409,238.486286409,0,0,0,0,False,-0.0078952453519,-7.66524626175,-0.0367965879622,2025-01-08,2025-01-10,238.486286409,963.203412038,963.203412038,0,4.03882095924,1,1,1,0,238.486286409,238.486286409,0,0,0,0,False,-0.0078952453519,-7.66524626175,-0.0367965879622,0
2025-01-10,2025-01-13,232.047423835,937.197998922,937.197998922,0,4.03882095924,1,1,1,0,232.047423835,232.047423835,0,0,0,0,False,-0.0269988797702,-26.0054131159,-0.062802001078,2025-01-10,2025-01-13,232.047423835,937.197998922,937.197998922,0,4.03882095924,1,1,1,0,232.047423835,232.047423835,0,0,0,0,False,-0.0269988797702,-26.0054131159,-0.062802001078,0
2025-01-13,2025-01-14,233.259695444,942.094146903,942.094146903,0,4.03882095924,1,1,1,0,233.259695444,233.259695444,0,0,0,0,False,0.00522424075447,4.89614798098,-0.0579058530971,2025-01-13,2025-01-14,233.259695444,942.094146903,942.094146903,0,4.03882095924,1,1,1,0,233.259695444,233.259695444,0,0,0,0,False,0.00522424075447,4.89614798098,-0.0579058530971,0
2025-01-14,2025-01-15,233.150388426,941.652675428,941.652675428,0,4.03882095924,1,1,1,0,233.150388426,233.150388426,0,0,0,0,False,-0.000468606536683,-0.441471475409,-0.0583473245725,2025-01-14,2025-01-15,233.150388426,941.652675428,941.652675428,0,4.03882095924,1,1,1,0,233.150388426,233.150388426,0,0,0,0,False,-0.000468606536683,-0.441471475409,-0.0583473245725,0
2025-01-15,2025-01-16,235.843186092,952.528403083,952.528403083,0,4.03882095924,1,1,1,0,235.843186092,235.843186092,0,0,0,0,False,0.011549616902,10.8757276559,-0.0474715969166,2025-01-15,2025-01-16,235.843186092,952.528403083,952.528403083,0,4.03882095924,1,1,1,0,235.843186092,235.843186092,0,0,0,0,False,0.011549616902,10.8757276559,-0.0474715969166,0
