decision_date,aapl_intraday_return,contextual_prior_intraday_percentile,contextual_spy_return_10,contextual_qqq_return_10,contextual_ready,contextual_raw_signal,contextual_virtual_signal,contextual_virtual_signal_blocked,contextual_virtual_signal_pending_stage_outcome,weak_trend_prior_intraday_percentile,weak_trend_spy_return_20,weak_trend_qqq_return_20,weak_trend_aapl_sma_20,weak_trend_ready,weak_trend_raw_signal,weak_trend_virtual_signal,weak_trend_virtual_signal_blocked,weak_trend_virtual_signal_pending_stage_outcome,unfiltered_union_candidate_signal,unfiltered_union_signal,unfiltered_union_signal_blocked,unfiltered_union_signal_pending_stage_outcome,stage_outcome_available,always_long_target_exposure,unfiltered_contextual_target_exposure,unfiltered_weak_trend_target_exposure,unfiltered_union_target_exposure,spy_return_20,qqq_return_20,risk_regime_ready,risk_on,union_candidate_signal,shadow_canonical_union_signal,canonical_union_cash_signal,shadow_matures_on_close,shadow_matured_now,shadow_signal_close,shadow_opportunity_risk_on,shadow_matured_signal_risk_on,shadow_label_10bps,shadow_lesson_added_now,shadow_pending,selector_regime_n_eff,selector_regime_mean,selector_regime_ready,selector_cash_prediction,selector_skip_prediction,risk_on_n_raw,risk_on_n_eff,risk_on_weighted_label_sum,risk_on_weighted_squared_label_sum,risk_on_mean,risk_on_ready,risk_on_cash_selected,not_risk_on_n_raw,not_risk_on_n_eff,not_risk_on_weighted_label_sum,not_risk_on_weighted_squared_label_sum,not_risk_on_mean,not_risk_on_ready,not_risk_on_cash_selected,selector_skip_signal,learner_cash_signal,target_exposure
2024-01-02,-0.0080683652475626033,0.013397344835502256,0.0070739800118617691,-0.0042771664437796231,True,False,False,False,False,0.014619900261850033,0.033688279116054209,0.035047237079129268,191.8567970275879,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.033688279116054209,0.035047237079129268,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-03,0.00016284214036521583,0.013397344835502256,-0.0067377268340057528,-0.020979919856996543,True,False,False,False,False,0.014619900261850033,0.030656608290011711,0.033691011735994092,191.6006950378418,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.030656608290011711,0.033691011735994092,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-04,-0.0013175418194709687,0.013397344835502256,-0.01592136029824831,-0.030969842623693733,True,False,False,False,False,0.014619900261850033,0.027539339716471822,0.025795481637718609,191.03163681030273,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.027539339716471822,0.025795481637718609,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-05,-0.0044508642943760224,0.013397344835502256,-0.00072603381770719455,-0.015186296988603853,True,False,False,False,False,0.014619900261850033,0.033110348276629287,0.032986835542601733,190.48087005615236,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.033110348276629287,0.032986835542601733,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-08,0.019056517603878165,0.013397344835502256,0.0040194596222415946,-0.006393261020708918,True,False,False,False,False,0.014619900261850033,0.039923812016828819,0.039808190079968275,190.05024414062501,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.039923812016828819,0.039808190079968275,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-09,0.0066333255374571021,0.013708742018690212,0.00048552814178193238,-0.0059175614891218142,True,False,False,False,False,0.01468951577346142,0.033900980140386894,0.037239551626374379,189.52765960693358,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.033900980140386894,0.037239551626374379,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-10,0.0099809941793949086,0.013708742018690212,0.0019131262869567234,-0.0052695795369418486,True,False,False,False,False,0.01468951577346142,0.035719776149537585,0.035424980452982924,189.18207092285155,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.035719776149537585,0.035424980452982924,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-11,-0.0050927253266541683,0.013708742018690212,-0.00033568557345720063,-0.0052246026739082296,True,False,False,False,False,0.01468951577346142,0.030556657394892772,0.029381438007232141,188.73117294311524,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.030556657394892772,0.029381438007232141,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-12,-0.00075244217717651551,0.013708742018690212,-2.1038377826299026e-05,-0.004230290589035901,True,False,False,False,False,0.01468951577346142,0.017242428452804548,0.016976028484499972,188.13591156005859,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.017242428452804548,0.016976028484499972,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
2024-01-16,0.008069835261037106,0.013708742018690212,-0.00079946451024448528,0,True,False,False,False,False,0.01468951577346142,0.010265777211629024,0.017758923580857289,187.42001647949218,True,False,False,False,False,False,False,False,False,True,1,1,1,1,0.010265777211629024,0.017758923580857289,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,28,26.189400890947976,-0.096532398817877507,0.015184634457865373,-0.0036859338333028713,True,False,174,116.39234446766753,0.90611242367714895,0.13465402861355508,0.0077849830057238577,True,True,False,False,1
