policy,ledger_role,decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
selector,strategy,2004-12-31,2005-01-03,0.96960881685865019,1000,999.00099900099895,0,1030.3134435571387,0,1,1,1030.3134435571387,0.96960881685865019,0.97057842567550878,0.99900099900099892,0,0.99900099900093842,0,True,-0.0009990009990010762,-0.99900099900105488,-0.0009990009990010762
selector,strategy,2005-01-03,2005-01-04,0.95479045027571652,983.73343669904455,983.73343669904455,0,1030.3134435571387,1,1,1,0,0.95479045027571652,0.95479045027571652,0,0,0,0,False,-0.015282829864256331,-15.267562301954399,-0.016266563300955439
selector,strategy,2005-01-04,2005-01-05,0.96481818268877728,994.06514421261465,994.06514421261465,0,1030.3134435571387,1,1,1,0,0.96481818268877728,0.96481818268877728,0,0,0,0,False,0.010502547873373569,10.331707513570109,-0.0059348557873853958
selector,strategy,2005-01-05,2005-01-06,0.96796190433035467,997.30416288273341,997.30416288273341,0,1030.3134435571387,1,1,1,0,0.96796190433035467,0.96796190433035467,0,0,0,0,False,0.0032583565463251141,3.2390186701187531,-0.0026958371172666196
selector,strategy,2005-01-06,2005-01-07,0.97290120182247453,1002.3931874905926,1002.3931874905926,0,1030.3134435571387,1,1,1,0,0.97290120182247453,0.97290120182247453,0,0,0,0,False,0.005102780873940338,5.0890246078591872,0
selector,strategy,2005-01-07,2005-01-10,1.0451951815786638,1076.8786467216419,1075.8017680749203,1075.8017680749203,0,1,0,0,-1030.3134435571387,1.0451951815786638,1.0441499863970851,1,0,1.0768786467216171,0,True,0.073233319520157547,73.408580584327751,0
selector,strategy,2005-01-10,2005-01-11,1.0215464778098959,1075.8017680749203,1074.7270410338865,0,1052.0588777693258,0,1,1,1052.0588777693258,1.0215464778098959,1.0225680242877058,0.99900099900099903,0,1.0747270410338188,0,True,-0.00099900099900096517,-1.0747270410338388,-0.00099900099900096517
selector,strategy,2005-01-11,2005-01-12,0.97963701173255857,1030.6358151846514,1030.6358151846514,0,1052.0588777693258,1,1,1,0,0.97963701173255857,0.97963701173255857,0,0,0,0,False,-0.041025510818839539,-44.091225849235116,-0.041983527291547973
selector,strategy,2005-01-12,2005-01-13,1.1032706620381154,1160.7056945796407,1160.7056945796407,0,1052.0588777693258,1,1,1,0,1.1032706620381154,1.1032706620381154,0,0,0,0,False,0.12620353133340867,130.06987939498936,0
selector,strategy,2005-01-13,2005-01-14,1.0514819500063157,1106.2209203183468,1106.2209203183468,0,1052.0588777693258,1,1,1,0,1.0514819500063157,1.0514819500063157,0,0,0,0,False,-0.046941076033081841,-54.484774261293978,-0.046941076033081841
selector,strategy,2005-01-14,2005-01-18,1.0454944461697686,1099.9217137514295,1099.9217137514295,0,1052.0588777693258,1,1,1,0,1.0454944461697686,1.0454944461697686,0,0,0,0,False,-0.0056943477123037045,-6.2992065669172916,-0.052368124936463478
selector,strategy,2005-01-18,2005-01-19,1.0550740315831959,1110.0000016309752,1110.0000016309752,0,1052.0588777693258,1,1,1,0,1.0550740315831959,1.0550740315831959,0,0,0,0,False,0.0091627319958731412,10.078287879545769,-0.043685228034509582
selector,strategy,2005-01-19,2005-01-20,1.0425012885606797,1096.7727357162248,1096.7727357162248,0,1052.0588777693258,1,1,1,0,1.0425012885606797,1.0425012885606797,0,0,0,0,False,-0.011916455761544986,-13.227265914750433,-0.055081110708748438
selector,strategy,2005-01-20,2005-01-21,1.067348163618498,1122.9131112056277,1122.9131112056277,0,1052.0588777693258,1,1,1,0,1.067348163618498,1.067348163618498,0,0,0,0,False,0.023833903449772098,26.140375489402913,-0.032560005133514869
