decision_date,aapl_intraday_return,contextual_prior_intraday_percentile,contextual_spy_return_10,contextual_qqq_return_10,contextual_ready,contextual_raw_signal,contextual_virtual_signal,contextual_virtual_signal_blocked,contextual_virtual_signal_pending_stage_outcome,weak_trend_prior_intraday_percentile,weak_trend_spy_return_20,weak_trend_qqq_return_20,weak_trend_aapl_sma_20,weak_trend_ready,weak_trend_raw_signal,weak_trend_virtual_signal,weak_trend_virtual_signal_blocked,weak_trend_virtual_signal_pending_stage_outcome,unfiltered_union_candidate_signal,unfiltered_union_signal,unfiltered_union_signal_blocked,unfiltered_union_signal_pending_stage_outcome,stage_outcome_available,always_long_target_exposure,unfiltered_contextual_target_exposure,unfiltered_weak_trend_target_exposure,unfiltered_union_target_exposure,spy_return_20,qqq_return_20,risk_regime_ready,risk_on,union_candidate_signal,shadow_canonical_union_signal,canonical_union_cash_signal,shadow_matures_on_close,shadow_matured_now,shadow_signal_close,shadow_opportunity_risk_on,shadow_matured_signal_risk_on,shadow_label_10bps,shadow_lesson_added_now,shadow_pending,selector_regime_n_eff,selector_regime_mean,selector_regime_ready,selector_cash_prediction,selector_skip_prediction,risk_on_n_raw,risk_on_n_eff,risk_on_weighted_label_sum,risk_on_weighted_squared_label_sum,risk_on_mean,risk_on_ready,risk_on_cash_selected,not_risk_on_n_raw,not_risk_on_n_eff,not_risk_on_weighted_label_sum,not_risk_on_weighted_squared_label_sum,not_risk_on_mean,not_risk_on_ready,not_risk_on_cash_selected,selector_skip_signal,learner_cash_signal,target_exposure
1999-03-10,-0.047532130302832654,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-11,-0.001937824833800228,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-12,0.027081102924739753,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-15,0.022512686375366409,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-16,0.014284801483154252,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-17,-0.052176704272937746,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-18,0.032725168630928447,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-19,-0.067827913693440545,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-22,0.031251349871865175,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-23,-0.041742809372652623,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-24,0.013157091642680863,,-0.015275423355435636,-0.011628127591032378,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-25,-0.01636583720815965,,-0.0062081009244600027,0.019488540613191274,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-26,-0.014813882227722619,,-0.0038701100325028159,0.033708071428119268,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-29,0.055969965221472018,,0.0019482407403934587,0.041262410091910784,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-30,0.025001621246337979,,0.00050838778652950722,0.025270630365462177,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-03-31,-0.012026749110913948,,-0.011293101060002919,0.017575128194412315,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-01,0,,-0.019603232312554453,0.019025168337263754,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-05,0.029511927641226565,,0.020963353606453516,0.083588398057415692,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-06,0.032259079456813389,,0.016594769980206703,0.099135341528106213,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-07,-0.024631877587415252,,0.055224951374170939,0.12740072181407314,False,False,False,False,False,,,,0.25999381914734843,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,,False,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-08,0,,0.062546477311236304,0.099071135780517849,False,False,False,False,False,,0.046315630035480337,0.086290996382041074,0.2616075024008751,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.046315630035480337,0.086290996382041074,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-09,0.013792209966224656,,0.041505827193798694,0.066905429496166402,False,False,False,False,False,,0.035040053905166291,0.087697859289336488,0.26331477537751197,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.035040053905166291,0.087697859289336488,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-12,0.035715198516845792,,0.060282167499877692,0.071256104046251822,False,False,False,False,False,,0.056178758846152643,0.10736608131925163,0.26446074992418289,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.056178758846152643,0.10736608131925163,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-13,-0.046471619040895695,,0.032642146140866135,0.019813477405973279,False,False,False,False,False,,0.034653981640224929,0.06189343932795599,0.26467126607894897,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.034653981640224929,0.06189343932795599,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-14,0.0079782945240223224,,0.020598439120397716,-0.0082159502676559804,False,False,False,False,False,,0.021117298901797588,0.016847057855491343,0.26468295156955718,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.021117298901797588,0.016847057855491343,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-15,0.010600013209914882,,0.033350018065031461,0.020250635294085217,False,False,False,False,False,,0.021680291880667113,0.038181670999809292,0.26531440615653989,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.021680291880667113,0.038181670999809292,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-16,-0.012197428693418888,,0.016912410207813089,-0.029755448034799237,False,False,False,False,False,,-0.0030223600110104165,-0.011296382105348335,0.26529101729393006,False,False,False,False,False,False,False,False,False,True,1,1,1,1,-0.0030223600110104165,-0.011296382105348335,True,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-19,-0.050788007202210883,,-0.021949230530295516,-0.10754544007800648,False,False,False,False,False,,-0.0014460064048380517,-0.032946593075091068,0.26543132811784742,False,False,False,False,False,False,False,False,False,True,1,1,1,1,-0.0014460064048380517,-0.032946593075091068,True,False,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-20,0.005534695753330432,,-0.0073340257398643027,-0.089070246448674562,False,False,False,False,False,,0.009139037770160563,0.0012350857777496671,0.26505711823701861,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.009139037770160563,0.0012350857777496671,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-21,0.011032036435348669,,0.012907937467390385,-0.034071468551856277,False,False,False,False,False,,0.068845729060538874,0.088988523575444844,0.26557163819670676,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.068845729060538874,0.088988523575444844,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-22,0.037434017457118163,,0.0097332581422919784,-0.015774788495721226,False,False,False,False,False,,0.07288851646308947,0.081733521071828186,0.26657730117440226,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.07288851646308947,0.081733521071828186,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-23,0.081032306682132127,,0.0069509539220313776,-0.0089584969613949461,False,False,False,False,False,,0.048745286208149885,0.057347560447929213,0.26858858540654185,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.048745286208149885,0.057347560447929213,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-26,0.036389981226884194,,0.0020625572413448534,0.020715785134454601,False,False,False,False,False,,0.062469060162323453,0.093448015321647038,0.27146517485380173,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.062469060162323453,0.093448015321647038,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-27,0.0639518510353565,,0.013382419912515875,0.018857339450984334,False,False,False,False,False,,0.046461396959884604,0.039044446326106375,0.27534742504358289,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.046461396959884604,0.039044446326106375,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-28,-0.012606735654755674,,0.016663014053785341,0.018934760496581271,False,False,False,False,False,,0.037604685254732262,0.01056324317835533,0.27841109484434129,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.037604685254732262,0.01056324317835533,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-29,-0.0057799346212087377,,0.012720588861343085,-0.002918573811857339,False,False,False,False,False,,0.046494838794697957,0.017272958508385061,0.28105383813381196,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.046494838794697957,0.017272958508385061,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
1999-04-30,0.045454238564391902,,0.01306740239350157,0.033674835980989304,False,False,False,False,False,,0.030200813870944199,0.0029173781140774402,0.28477234393358231,False,False,False,False,False,False,False,False,False,True,1,1,1,1,0.030200813870944199,0.0029173781140774402,True,True,False,False,False,,False,,False,False,,False,False,,,False,False,False,0,0,0,0,,False,False,0,0,0,0,,False,True,False,False,1
