decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
1999-12-31,2000-01-03,0.784869368524,1000,999.000999001,0,1272.82454771,0,1,1,1272.82454771,0.784869368524,0.785654237893,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001
2000-01-03,2000-01-04,0.810127597074,1031.15029233,1031.15029233,0,1272.82454771,1,1,1,0,0.810127597074,0.810127597074,0,0,0,0,False,0.0321814426235,32.1492933301,0
2000-01-04,2000-01-05,0.776450050989,988.284684968,988.284684968,0,1272.82454771,1,1,1,0,0.776450050989,0.776450050989,0,0,0,0,False,-0.0415706688756,-42.8656073635,-0.0415706688756
2000-01-05,2000-01-06,0.794224637872,1010.90861548,1010.90861548,0,1272.82454771,1,1,1,0,0.794224637872,0.794224637872,0,0,0,0,False,0.0228921188945,22.6239305099,-0.0196301906756
2000-01-06,2000-01-07,0.722192140056,919.223884025,919.223884025,0,1272.82454771,1,1,1,0,0.722192140056,0.722192140056,0,0,0,0,False,-0.0906953705298,-91.6847314525,-0.108545193788
2000-01-07,2000-01-10,0.763352826867,971.614216598,971.614216598,0,1272.82454771,1,1,1,0,0.763352826867,0.763352826867,0,0,0,0,False,0.0569940941303,52.390332573,-0.0577375346503
2000-01-10,2000-01-11,0.717982457402,913.865696605,913.865696605,0,1272.82454771,1,1,1,0,0.717982457402,0.717982457402,0,0,0,0,False,-0.059435647407,-57.7485199933,-0.113741514306
2000-01-11,2000-01-12,0.710966028678,904.935013887,904.935013887,0,1272.82454771,1,1,1,0,0.710966028678,0.710966028678,0,0,0,0,False,-0.00977242361802,-8.9306827172,-0.122402407663
2000-01-12,2000-01-13,0.707107265058,900.023484827,900.023484827,0,1272.82454771,1,1,1,0,0.707107265058,0.707107265058,0,0,0,0,False,-0.00542749367044,-4.91152906004,-0.127165563041
2000-01-13,2000-01-14,0.748385703254,952.563694255,952.563694255,0,1272.82454771,1,1,1,0,0.748385703254,0.748385703254,0,0,0,0,False,0.0583764871843,52.5402094276,-0.0762125547173
2000-01-14,2000-01-18,0.755869755041,962.089579085,962.089579085,0,1272.82454771,1,1,1,0,0.755869755041,0.755869755041,0,0,0,0,False,0.0100002602323,9.52588483043,-0.0669744398651
2000-01-18,2000-01-19,0.79048208263,1006.14499929,1006.14499929,0,1272.82454771,1,1,1,0,0.79048208263,0.79048208263,0,0,0,0,False,0.0457913911205,44.0554202089,-0.0242499015155
2000-01-19,2000-01-20,0.86438542118,1100.21098276,1100.21098276,0,1272.82454771,1,1,1,0,0.86438542118,0.86438542118,0,0,0,0,False,0.0934914783945,94.0659834632,0
2000-01-20,2000-01-21,0.855030216106,1088.30344809,1088.30344809,0,1272.82454771,1,1,1,0,0.855030216106,0.855030216106,0,0,0,0,False,-0.010822955645,-11.9075346665,-0.010822955645
2000-01-21,2000-01-24,0.811530377244,1032.93578537,1032.93578537,0,1272.82454771,1,1,1,0,0.811530377244,0.811530377244,0,0,0,0,False,-0.0508752065625,-55.3676627243,-0.0611475421034
2000-01-24,2000-01-25,0.78580499046,1000.19188157,1000.19188157,0,1272.82454771,1,1,1,0,0.78580499046,0.78580499046,0,0,0,0,False,-0.031699844523,-32.7439037984,-0.0909090190488
