"id","market_and_exchange_names","report_date_as_yyyy_mm_dd","cftc_contract_market_code","open_interest_all","noncomm_positions_long_all","noncomm_positions_short_all"
"97091613874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-09-16T00:00:00.000","13874A","7578","1363","522"
"97092313874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-09-23T00:00:00.000","13874A","5684","1413","343"
"97093013874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-09-30T00:00:00.000","13874A","5874","1413","1297"
"97100713874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-10-07T00:00:00.000","13874A","7368","2378","343"
"97101413874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-10-14T00:00:00.000","13874A","9638","3864","643"
"97102113874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-10-21T00:00:00.000","13874A","12786","6410","333"
"97102813874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-10-28T00:00:00.000","13874A","14967","6590","330"
"97110413874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-11-04T00:00:00.000","13874A","15555","8385","811"
"97111113874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-11-11T00:00:00.000","13874A","15798","9655","810"
"97111813874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-11-18T00:00:00.000","13874A","17032","10845","860"
"97112513874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-11-25T00:00:00.000","13874A","17147","10890","926"
"97120213874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-12-02T00:00:00.000","13874A","17369","11155","1136"
"97120913874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-12-09T00:00:00.000","13874A","18862","11904","355"
"97121613874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-12-16T00:00:00.000","13874A","20585","11895","355"
"97121913874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1997-12-19T00:00:00.000","13874A","20130","903","355"
"98011313874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-01-13T00:00:00.000","13874A","8506","1326","1395"
"98012013874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-01-20T00:00:00.000","13874A","8442","1840","2180"
"98012713874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-01-27T00:00:00.000","13874A","10946","1145","3855"
"98020313874AF","E-MINI S&P 500 STOCK INDEX - INTERNATIONAL MONETARY MARKET","1998-02-03T00:00:00.000","13874A","12043","1674","4402"
