market,report_date,availability_date,net_share
SP500,1997-09-16,1997-09-24,0.11097915017154922
SP500,1997-09-23,1997-10-01,0.18824771287825476
SP500,1997-09-30,1997-10-08,0.019748042219952331
SP500,1997-10-07,1997-10-15,0.27619435396308362
SP500,1997-10-14,1997-10-22,0.33419796638306704
SP500,1997-10-21,1997-10-29,0.47528546848115127
SP500,1997-10-28,1997-11-05,0.41825349101356318
SP500,1997-11-04,1997-11-12,0.48691738990678241
SP500,1997-11-11,1997-11-19,0.55988099759463228
SP500,1997-11-18,1997-11-26,0.58624941286989196
SP500,1997-11-25,1997-12-03,0.58109290254855073
SP500,1997-12-02,1997-12-10,0.57683228740860149
SP500,1997-12-09,1997-12-17,0.61228925882727181
SP500,1997-12-16,1997-12-24,0.56060238037405874
SP500,1997-12-19,1997-12-27,0.027223050173869848
SP500,1998-01-13,1998-01-21,-0.0081119209969433333
SP500,1998-01-20,1998-01-28,-0.040274816394219377
SP500,1998-01-27,1998-02-04,-0.24757902430111456
SP500,1998-02-03,1998-02-11,-0.22652163082288465
SP500,1998-02-10,1998-02-18,-0.30575133915985342
SP500,1998-02-17,1998-02-25,-0.31025281835768126
SP500,1998-02-24,1998-03-04,-0.50365090403337964
SP500,1998-03-03,1998-03-11,-0.39221917808219176
SP500,1998-03-10,1998-03-18,-0.41682628554589657
SP500,1998-03-17,1998-03-25,-0.39935595065312046
SP500,1998-03-24,1998-04-01,0.12894409937888199
SP500,1998-03-31,1998-04-08,0.049447602702992602
SP500,1998-04-07,1998-04-15,-0.28404336249524537
SP500,1998-04-14,1998-04-22,-0.26085054252712636
SP500,1998-04-21,1998-04-29,-0.21368462445930003
SP500,1998-04-28,1998-05-06,-0.35376359271289365
SP500,1998-05-05,1998-05-13,-0.43568236507390856
SP500,1998-05-12,1998-05-20,-0.49517705292549818
SP500,1998-05-19,1998-05-27,-0.43655598001763152
SP500,1998-05-26,1998-06-03,-0.44501321003963012
SP500,1998-06-02,1998-06-10,-0.46815399403045482
SP500,1998-06-09,1998-06-17,-0.50754269449715372
SP500,1998-06-16,1998-06-24,-0.13958132488637928
SP500,1998-06-23,1998-07-01,0.16146739858080064
SP500,1998-06-30,1998-07-08,-0.33229061553985872
SP500,1998-07-14,1998-07-22,-0.024606429421881203
SP500,1998-07-21,1998-07-29,-0.051661331272767411
SP500,1998-07-28,1998-08-05,0.077369668246445492
SP500,1998-08-04,1998-08-12,0.12345147042981795
SP500,1998-08-11,1998-08-19,0.21726408193123628
SP500,1998-08-18,1998-08-26,0.063664900922111051
SP500,1998-08-25,1998-09-02,0.054304635761589407
SP500,1998-09-01,1998-09-09,-0.16778984150755022
SP500,1998-09-08,1998-09-16,0.025416585618880893
SP500,1998-09-15,1998-09-23,0.027298600220712087
SP500,1998-10-06,1998-10-14,-0.051829913264226785
SP500,1998-10-13,1998-10-21,-0.069649676241075875
SP500,1998-10-20,1998-10-28,-0.0053251573341939647
SP500,1998-10-27,1998-11-04,-0.26493167511131582
SP500,1998-11-03,1998-11-11,-0.18272197463147069
SP500,1998-11-10,1998-11-18,-0.25932140193885161
SP500,1998-11-17,1998-11-25,-0.26796303958074746
SP500,1998-11-24,1998-12-02,-0.24435305671495211
SP500,1998-12-01,1998-12-09,-0.28698345899818811
SP500,1998-12-08,1998-12-16,-0.32830103650292924
SP500,1998-12-15,1998-12-23,-0.33221168553074337
SP500,1998-12-22,1998-12-30,-0.14187855567165911
SP500,1998-12-29,1999-01-06,-0.046917364140044798
SP500,1999-01-05,1999-01-13,-0.11198120595144871
SP500,1999-01-12,1999-01-20,-0.044062438253309626
SP500,1999-01-19,1999-01-27,-0.16446181599518941
SP500,1999-01-26,1999-02-03,-0.051112162801703741
SP500,1999-02-02,1999-02-10,0.054668304668304669
SP500,1999-02-09,1999-02-17,-0.09824439018718753
SP500,1999-02-16,1999-02-24,0.026303990434912571
SP500,1999-02-23,1999-03-03,0.097203054558837057
SP500,1999-03-02,1999-03-10,-0.08240956037419564
SP500,1999-03-09,1999-03-17,-0.04634687145097615
SP500,1999-03-16,1999-03-24,0.0023156556483835814
SP500,1999-03-23,1999-03-31,0.069789859263543474
SP500,1999-03-30,1999-04-07,0.27601359754580879
SP500,1999-04-06,1999-04-14,0.41244746848108865
SP500,1999-04-13,1999-04-21,0.49195806115167151
SP500,1999-04-20,1999-04-28,0.089653956876799251
SP500,1999-04-27,1999-05-05,0.30022779043280184
SP500,1999-05-04,1999-05-12,-0.061129739489295849
SP500,1999-05-11,1999-05-19,-0.092228084415584416
SP500,1999-05-18,1999-05-26,-0.061645233721167585
SP500,1999-05-25,1999-06-02,-0.059031430134219715
SP500,1999-06-01,1999-06-09,-0.060771035276413046
SP500,1999-06-08,1999-06-16,-0.009188492915414341
SP500,1999-06-15,1999-06-23,0.22235885969815539
NASDAQ,1999-06-22,1999-06-30,0.34823091247672255
SP500,1999-06-22,1999-06-30,0.10409541348767869
NASDAQ,1999-06-29,1999-07-07,0.20477290223248654
SP500,1999-06-29,1999-07-07,0.11296162201303403
NASDAQ,1999-07-06,1999-07-14,0.057704918032786885
SP500,1999-07-06,1999-07-14,0.10817693627858052
