decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
2004-12-31,2005-01-03,0.9696088168586502,1000.0,999.5002498750623,0.0,1030.8283428292812,0.0,1.0,1.0,1030.8283428292812,0.9696088168586502,0.9700936212670794,0.9995002498750624,0.0,0.4997501249374437,0.0,True,-0.0004997501249376368,-0.499750124937691,-0.0004997501249376368
2005-01-03,2005-01-04,0.9547904502757165,984.22505760694,984.22505760694,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9547904502757165,0.9547904502757165,0.0,0.0,0.0,0.0,False,-0.015282829864256331,-15.275192268122282,-0.015774942393059987
2005-01-04,2005-01-05,0.9648181826887773,994.5619283926309,994.5619283926309,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9648181826887773,0.9648181826887773,0.0,0.0,0.0,0.0,False,0.010502547873373569,10.336870785690849,-0.005438071607369088
2005-01-05,2005-01-06,0.9679619043303547,997.8025657627347,997.8025657627347,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9679619043303547,0.9679619043303547,0.0,0.0,0.0,0.0,False,0.003258356546325114,3.2406373701038547,-0.002197434237265261
2005-01-06,2005-01-07,0.9729012018224745,1002.8941336112774,1002.8941336112774,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9729012018224745,0.9729012018224745,0.0,0.0,0.0,0.0,False,0.005102780873940338,5.091567848542695,0.0
2005-01-07,2005-01-10,1.0451951815786638,1077.4168169598836,1077.4168169598836,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,1.0451951815786638,1.0451951815786638,0.0,0.0,0.0,0.0,False,0.07430762714730488,74.52268334860617,0.0
2005-01-10,2005-01-11,1.021546477809896,1053.039062843864,1053.039062843864,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,1.021546477809896,1.021546477809896,0.0,0.0,0.0,0.0,False,-0.022626112505655493,-24.37775411601956,-0.022626112505655493
2005-01-11,2005-01-12,0.9796370117325586,1009.8375973785024,1009.8375973785024,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,0.9796370117325586,0.9796370117325586,0.0,0.0,0.0,0.0,False,-0.04102551081883954,-43.20146546536159,-0.06272337550110596
2005-01-12,2005-01-13,1.1032706620381154,1137.2826682409145,1137.2826682409145,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,1.1032706620381154,1.1032706620381154,0.0,0.0,0.0,0.0,False,0.1262035313334089,127.44507086241208,0.0
2005-01-13,2005-01-14,1.0514819500063157,1083.8973960399114,1083.8973960399114,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,1.0514819500063157,1.0514819500063157,0.0,0.0,0.0,0.0,False,-0.04694107603308195,-53.38527220100309,-0.04694107603308195
2005-01-14,2005-01-18,1.0454944461697686,1077.7253073823997,1077.7253073823997,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,1.0454944461697686,1.0454944461697686,0.0,0.0,0.0,0.0,False,-0.0056943477123035935,-6.172088657511722,-0.05236812493646348
2005-01-18,2005-01-19,1.055074031583196,1087.6002155391145,1087.6002155391145,0.0,1030.8283428292812,1.0,1.0,1.0,0.0,1.055074031583196,1.055074031583196,0.0,0.0,0.0,0.0,False,0.00916273199587292,9.87490815671481,-0.04368522803450969
