decision_date,entry_date,buyback_date,reference_exit_date,mode,raw_active_log_edge,net_active_log_edge,win
2005-01-07,2005-01-10,2005-01-10,2005-01-11,intraday,0.012536511124026114,0.011536511040692891,True
2005-01-31,2005-02-01,2005-02-01,2005-02-02,intraday,-0.006210107015611717,-0.007210107098944941,False
2005-04-21,2005-04-22,2005-04-22,2005-04-25,intraday,0.037051446761128086,0.03605144667779486,True
2005-05-04,2005-05-05,2005-05-05,2005-05-06,intraday,0.01542020030606232,0.014420200222729097,True
2005-07-05,2005-07-06,2005-07-06,2005-07-07,intraday,0.008522394754641399,0.007522394671308175,True
2005-07-07,2005-07-08,2005-07-08,2005-07-11,intraday,-0.00998402243897079,-0.010984022522304014,False
2005-08-12,2005-08-15,2005-08-15,2005-08-16,intraday,-0.02548985671529126,-0.02648985679862448,False
2005-10-13,2005-10-14,2005-10-14,2005-10-17,intraday,0.0005557230173132277,-0.0004442770660199961,False
2006-01-30,2006-01-31,2006-01-31,2006-02-01,intraday,-0.00013235616133940915,-0.001132356244672633,False
2006-02-10,2006-02-13,2006-02-13,2006-02-14,intraday,0.029239442637285108,0.028239442553951884,True
2006-02-14,2006-02-15,2006-02-15,2006-02-16,intraday,-0.030212210082852478,-0.0312122101661857,False
2006-06-01,2006-06-02,2006-06-02,2006-06-05,intraday,0.021340619597525343,0.02034061951419212,True
2006-06-08,2006-06-09,2006-06-09,2006-06-12,intraday,0.03222342358986427,0.031223423506531046,True
2006-06-15,2006-06-16,2006-06-16,2006-06-19,intraday,0.024031460989444357,0.023031460906111134,True
2007-02-28,2007-03-01,2007-03-01,2007-03-02,intraday,-0.035423923263617506,-0.03642392334695073,False
2007-03-12,2007-03-13,2007-03-13,2007-03-14,intraday,0.011360372743869447,0.010360372660536224,True
2007-08-21,2007-08-22,2007-08-22,2007-08-23,intraday,-0.009782729965358885,-0.010782730048692108,False
2007-11-13,2007-11-14,2007-11-14,2007-11-15,intraday,0.06440313181245907,0.06340313172912584,True
2008-01-09,2008-01-10,2008-01-10,2008-01-11,intraday,-0.002474673419536023,-0.0034746735028692464,False
2008-01-22,2008-01-23,2008-01-23,2008-01-24,intraday,-0.020926426923741942,-0.021926427007075165,False
2008-01-31,2008-02-01,2008-02-01,2008-02-04,intraday,0.01844557837747556,0.017445578294142335,True
2008-02-08,2008-02-11,2008-02-11,2008-02-12,intraday,-0.011186161861233793,-0.012186161944567016,False
2008-03-11,2008-03-12,2008-03-12,2008-03-13,intraday,0.007982206415175008,0.006982206331841784,True
2008-03-13,2008-03-14,2008-03-14,2008-03-17,intraday,0.02549920279765172,0.024499202714318498,True
2008-03-17,2008-03-18,2008-03-18,2008-03-19,intraday,-0.027787972664725297,-0.02878797274805852,False
2008-06-10,2008-06-11,2008-06-11,2008-06-12,intraday,0.0193350537555596,0.018335053672226376,True
2008-06-16,2008-06-17,2008-06-17,2008-06-18,intraday,-0.018524767173756205,-0.019524767257089428,False
2008-07-01,2008-07-02,2008-07-02,2008-07-03,intraday,0.0408932663409991,0.03989326625766588,True
2008-07-22,2008-07-23,2008-07-23,2008-07-24,intraday,-0.007667976423875209,-0.008667976507208432,False
2008-09-11,2008-09-12,2008-09-12,2008-09-15,intraday,0.01314012533371298,0.012140125250379757,True
2008-09-16,2008-09-17,2008-09-17,2008-09-18,intraday,0.08009679360800107,0.07909679352466784,True
2008-09-26,2008-09-29,2008-09-29,2008-09-30,intraday,0.1278865221710986,0.12688652208776538,True
2008-09-30,2008-10-01,2008-10-01,2008-10-02,intraday,0.02533617185801225,0.024336171774679026,True
2008-10-06,2008-10-07,2008-10-07,2008-10-08,intraday,0.1195259680914425,0.11852596800810927,True
2008-10-08,2008-10-09,2008-10-09,2008-10-10,intraday,0.05064517700672269,0.04964517692338947,True
2008-10-10,2008-10-13,2008-10-13,2008-10-14,intraday,-0.053175635776079665,-0.05417563585941289,False
2008-10-24,2008-10-27,2008-10-27,2008-10-28,intraday,0.03184690328098251,0.030846903197649288,True
2008-10-28,2008-10-29,2008-10-29,2008-10-30,intraday,-0.03593204893885171,-0.036932049022184936,False
2008-11-13,2008-11-14,2008-11-14,2008-11-17,intraday,0.038265473443408214,0.03726547336007499,True
2008-11-24,2008-11-25,2008-11-25,2008-11-26,intraday,0.04131534677053097,0.040315346687197745,True
2008-11-26,2008-11-28,2008-11-28,2008-12-01,intraday,0.021669200653046904,0.02066920056971368,True
2009-10-02,2009-10-05,2009-10-05,2009-10-06,intraday,0.0009672639364657184,-3.273614686750536e-05,False
2010-02-03,2010-02-04,2010-02-04,2010-02-05,intraday,0.024076339282015115,0.02307633919868189,True
2010-02-05,2010-02-08,2010-02-08,2010-02-09,intraday,0.008055297236519389,0.007055297153186165,True
2010-02-11,2010-02-12,2010-02-12,2010-02-16,intraday,-0.01139319153360636,-0.012393191616939582,False
2010-05-11,2010-05-12,2010-05-12,2010-05-13,intraday,-0.010933779617511548,-0.011933779700844771,False
2010-05-21,2010-05-24,2010-05-24,2010-05-25,intraday,0.002105141725342277,0.0011051416420090534,True
2010-05-25,2010-05-26,2010-05-26,2010-05-27,intraday,0.02416198987978876,0.023161989796455538,True
2010-06-10,2010-06-11,2010-06-11,2010-06-14,intraday,-0.021047589025898733,-0.022047589109231956,False
2010-07-07,2010-07-08,2010-07-08,2010-07-09,intraday,0.01686655457725062,0.015866554493917398,True
2010-07-20,2010-07-21,2010-07-21,2010-07-22,intraday,0.041790668378241684,0.04079066829490846,True
2010-08-12,2010-08-13,2010-08-13,2010-08-16,intraday,0.010184777046364484,0.009184776963031261,True
2010-08-25,2010-08-26,2010-08-26,2010-08-27,intraday,0.021288343169119105,0.020288343085785882,True
2010-11-22,2010-11-23,2010-11-23,2010-11-24,intraday,0.005555790508709694,0.00455579042537647,True
2011-03-11,2011-03-14,2011-03-14,2011-03-15,intraday,-0.0010753848298706795,-0.0020753849132039036,False
2011-04-18,2011-04-19,2011-04-19,2011-04-20,intraday,-0.014188869036933095,-0.015188869120266318,False
2011-05-17,2011-05-18,2011-05-18,2011-05-19,intraday,-0.01005419283188591,-0.011054192915219134,False
2011-05-23,2011-05-24,2011-05-24,2011-05-25,intraday,0.009914888681443901,0.008914888598110678,True
2011-06-21,2011-06-22,2011-06-22,2011-06-23,intraday,0.007873179702887123,0.006873179619553899,True
2011-06-23,2011-06-24,2011-06-24,2011-06-27,intraday,0.015265174890228472,0.014265174806895249,True
2011-07-18,2011-07-19,2011-07-19,2011-07-20,intraday,0.003046928888792814,0.0020469288054595905,True
2011-08-09,2011-08-10,2011-08-10,2011-08-11,intraday,0.02030439321228358,0.019304393128950357,True
2011-08-23,2011-08-24,2011-08-24,2011-08-25,intraday,-0.007230130788010191,-0.008230130871343415,False
2011-08-25,2011-08-26,2011-08-26,2011-08-29,intraday,-0.03288810531289011,-0.033888105396223334,False
2011-10-05,2011-10-06,2011-10-06,2011-10-07,intraday,-0.010763424646196913,-0.011763424729530136,False
2011-12-20,2011-12-21,2011-12-21,2011-12-22,intraday,0.0006051360388966367,-0.0003948640444365871,False
2012-04-17,2012-04-18,2012-04-18,2012-04-19,intraday,0.00880484481065839,0.007804844727325166,True
2012-05-21,2012-05-22,2012-05-22,2012-05-23,intraday,0.022335091928239674,0.02133509184490645,True
2012-05-23,2012-05-24,2012-05-24,2012-05-25,intraday,0.018489976596530407,0.017489976513197183,True
2012-05-30,2012-05-31,2012-05-31,2012-06-01,intraday,0.005196432432526129,0.004196432349192905,True
2012-07-23,2012-07-24,2012-07-24,2012-07-25,intraday,0.010692745823647437,0.009692745740314214,True
2012-09-27,2012-09-28,2012-09-28,2012-10-01,intraday,0.017312890750393807,0.016312890667060584,True
2012-10-16,2012-10-17,2012-10-17,2012-10-18,intraday,0.006586932517530174,0.00558693243419695,True
2012-10-22,2012-10-23,2012-10-23,2012-10-24,intraday,0.028353786370335133,0.02735378628700191,True
2012-11-19,2012-11-20,2012-11-20,2012-11-21,intraday,0.01942123885778333,0.018421238774450108,True
2013-04-24,2013-04-25,2013-04-25,2013-04-26,intraday,0.006954551454612566,0.005954551371279342,True
2013-07-02,2013-07-03,2013-07-03,2013-07-05,intraday,0.00014257865287968947,-0.0008574214304535343,False
2014-08-01,2014-08-04,2014-08-04,2014-08-05,intraday,0.00812680459850022,0.0071268045151669955,True
2014-09-23,2014-09-24,2014-09-24,2014-09-25,intraday,0.004021423248381672,0.0030214231650484476,True
2014-09-26,2014-09-29,2014-09-29,2014-09-30,intraday,-0.014691339591975498,-0.01569133967530872,False
