decision_date,event_date,event_time,side,reference_price,fill_price,signed_share_delta,cash_after,shares_after,equity_at_reference_after,target_exposure_after,slippage
2004-12-31,2005-01-03,open,buy,0.9696088168586502,0.9700936212670794,1030.8283428292814,0.0,1030.8283428292814,999.5002498750625,1.0,0.4997501249374438
2005-01-07,2005-01-10,open,sell,1.0451951815786638,1.0446725839878745,-1030.8283428292814,1076.878108551404,0.0,1076.878108551404,0.0,0.538708408479815
2005-01-07,2005-01-10,close,buy,1.0321738719940186,1.0326899589300156,1042.7893669724187,0.0,1042.7893669724187,1076.339938582113,1.0,0.5381699692910769
2005-01-31,2005-02-01,open,sell,1.1532624762982118,1.1526858450600628,-1042.7893669724187,1202.0085426882504,0.0,1202.0085426882504,0.0,0.6013049238059122
2005-01-31,2005-02-01,close,buy,1.1604466438293457,1.1610268671512602,1035.2977839673463,0.0,1035.2977839673463,1201.407838768866,1.0,0.6007039193842969
2005-04-21,2005-04-22,open,sell,1.1028211834741943,1.1022697728824573,-1035.2977839673463,1141.177453199398,0.0,1141.177453199398,0.0,0.5708741636814627
2005-04-21,2005-04-22,close,buy,1.062707781791687,1.0632391356825828,1073.3027170475436,0.0,1073.3027170475436,1140.6071496245859,1.0,0.5703035748122014
2005-05-04,2005-05-05,open,sell,1.1150941225847315,1.114536575523439,-1073.3027170475436,1196.235134758172,0.0,1196.235134758172,0.0,0.5984167757670139
2005-05-04,2005-05-05,close,buy,1.0980310440063477,1.0985800595283508,1088.8920879118698,0.0,1088.8920879118698,1195.637316100122,1.0,0.597818658050034
2005-07-05,2005-07-06,open,sell,1.128865460563744,1.1283010278334622,-1088.8920879118698,1228.5980619906873,0.0,1228.5980619906873,0.0,0.6146063341623885
2005-07-05,2005-07-06,close,buy,1.1192857027053833,1.1198453455567359,1097.1140496010942,0.0,1097.1140496010942,1227.9840699557094,1.0,0.6139920349777221
2005-07-07,2005-07-08,open,sell,1.1336545414102046,1.1330877141394995,-1097.1140496010942,1243.1264506128332,0.0,1243.1264506128332,0.0,0.6218741623876265
2005-07-07,2005-07-08,close,buy,1.1450296640396118,1.1456021788716315,1085.1292652369593,0.0,1085.1292652369593,1242.5051980138264,1.0,0.6212525990067975
2005-08-12,2005-08-15,open,sell,1.3913987567275292,1.3907030573491654,-1085.1292652369593,1509.0925867840929,0.0,1509.0925867840929,0.0,0.7549237552696967
2005-08-12,2005-08-15,close,buy,1.427321195602417,1.428034856200218,1056.7617311523873,0.0,1056.7617311523873,1508.3384175753054,1.0,0.7541692087875288
2005-10-13,2005-10-14,open,sell,1.6174112391611766,1.616602533541596,-1056.7617311523873,1708.3636919307523,0.0,1708.3636919307523,0.0,0.8546091505405142
2005-10-13,2005-10-14,close,buy,1.616512656211853,1.6173209125399588,1056.2923404284763,0.0,1056.2923404284763,1707.5099369622712,1.0,0.8537549684809723
2006-01-30,2006-01-31,open,sell,2.260124737465021,2.2589946750962886,-1056.2923404284763,2386.158772372924,0.0,2386.158772372924,0.0,1.1936762242983405
2006-01-30,2006-01-31,close,buy,2.2604238986968994,2.2615541106462476,1055.0969181502671,0.0,1055.0969181502671,2384.9662892283104,1.0,1.1924831446138364
2006-02-10,2006-02-13,open,sell,1.9945978145550978,1.9936005156478203,-1055.0969181502671,2103.4417600827987,0.0,2103.4417600827987,0.0,1.0522470035431306
2006-02-10,2006-02-13,close,buy,1.9371212720870972,1.9380898327231406,1085.3169572265533,0.0,1085.3169572265533,2102.390564800399,1.0,1.0511952824000894
2006-02-14,2006-02-15,open,sell,2.0104628149196477,2.009457583512188,-1085.3169572265533,2180.898390213271,0.0,2180.898390213271,0.0,1.0909946924525769
2006-02-14,2006-02-15,close,buy,2.0721302032470703,2.0731662683486936,1051.9650177167832,0.0,1051.9650177167832,2179.808485970286,1.0,1.0899042429848327
2006-06-01,2006-06-02,open,sell,1.8856326278414577,1.884689811527537,-1051.9650177167832,1982.6277509742063,0.0,1982.6277509742063,0.0,0.9918097803772407
2006-06-01,2006-06-02,close,buy,1.8458184003829956,1.846741309583187,1073.581741354824,0.0,1073.581741354824,1981.6369325079522,1.0,0.9908184662539209
2006-06-08,2006-06-09,open,sell,1.8314492942588951,1.8305335696117657,-1073.581741354824,1965.2274172722616,0.0,1965.2274172722616,0.0,0.9831052612667263
2006-06-08,2006-06-09,close,buy,1.7733744382858276,1.7742611255049705,1107.631446703168,0.0,1107.631446703168,1964.245294624949,1.0,0.9821226473124234
2006-06-15,2006-06-16,open,sell,1.7649924147657532,1.7641099185583704,-1107.631446703168,1953.9836212362156,0.0,1953.9836212362156,0.0,0.9774805508934564
2006-06-15,2006-06-16,close,buy,1.7230826616287231,1.7239442029595373,1133.4378559826728,0.0,1133.4378559826728,1953.0071176773772,1.0,0.9765035588384772
2007-02-28,2007-03-01,open,sell,2.515473963127061,2.5142162261454977,-1133.4378559826728,2849.7078488391994,0.0,2849.7078488391994,0.0,1.4255667077730816
2007-02-28,2007-03-01,close,buy,2.6061789989471436,2.6074820884466168,1092.896423513646,0.0,1092.896423513646,2848.2837069857073,1.0,1.4241418534924692
2007-03-12,2007-03-13,open,sell,2.676526486680193,2.675188223436853,-1092.896423513646,2923.7036416199608,0.0,2923.7036416199608,0.0,1.4625831123661417
2007-03-12,2007-03-13,close,buy,2.646292209625244,2.6476153557300566,1104.2780951139239,0.0,1104.2780951139239,2922.2425203597813,1.0,1.4611212601796826
2007-08-21,2007-08-22,open,sell,3.92812850042854,3.926164436178326,-1104.2780951139239,4335.577384687034,0.0,4335.577384687034,0.0,2.1688731289078
2007-08-21,2007-08-22,close,buy,3.966744899749756,3.9687282721996304,1092.4349280995448,0.0,1092.4349280995448,4333.41067934736,1.0,2.1667053396733387
2007-11-13,2007-11-14,open,sell,5.303360098737307,5.300708418687939,-1092.4349280995448,5790.67902024601,0.0,5790.67902024601,0.0,2.896787904074449
