decision_date,entry_date,buyback_date,reference_exit_date,mode,raw_active_log_edge,net_active_log_edge,win
2005-01-07,2005-01-10,2005-01-11,2005-01-11,open_to_open,0.022886010796866713,0.02188601071353349,True
2005-01-31,2005-02-01,2005-02-02,2005-02-02,open_to_open,-0.011612640735564537,-0.01261264081889776,False
2005-04-21,2005-04-22,2005-04-25,2005-04-25,open_to_open,0.009546526908020532,0.008546526824687308,True
2005-05-04,2005-05-05,2005-05-06,2005-05-06,open_to_open,0.009711181776901837,0.008711181693568614,True
2005-07-05,2005-07-06,2005-07-07,2005-07-07,open_to_open,0.02415594076366065,0.023155940680327426,True
2005-07-07,2005-07-08,2005-07-11,2005-07-11,open_to_open,-0.013116055759889703,-0.014116055843222926,False
2005-08-12,2005-08-15,2005-08-16,2005-08-16,open_to_open,-0.01938931657881742,-0.020389316662150644,False
2005-10-13,2005-10-14,2005-10-17,2005-10-17,open_to_open,0.0009259002376646909,-7.409984566853292e-05,False
2006-01-30,2006-01-31,2006-02-01,2006-02-01,open_to_open,0.007311279341957042,0.006311279258623818,True
2006-02-10,2006-02-13,2006-02-14,2006-02-14,open_to_open,0.023230776161745927,0.022230776078412704,True
2006-02-14,2006-02-15,2006-02-16,2006-02-16,open_to_open,-0.04013125662954399,-0.041131256712877214,False
2006-06-01,2006-06-02,2006-06-05,2006-06-05,open_to_open,0.029645868518610598,0.028645868435277375,True
2006-06-08,2006-06-09,2006-06-12,2006-06-12,open_to_open,0.029525745201929098,0.028525745118595874,True
2006-06-15,2006-06-16,2006-06-19,2006-06-19,open_to_open,0.019351377265232516,0.018351377181899293,True
2007-02-28,2007-03-01,2007-03-02,2007-03-02,open_to_open,-0.03208738249316203,-0.03308738257649525,False
2007-03-12,2007-03-13,2007-03-14,2007-03-14,open_to_open,0.009100479945058075,0.008100479861724852,True
2007-08-21,2007-08-22,2007-08-23,2007-08-23,open_to_open,-0.014149768630978565,-0.015149768714311788,False
2007-11-13,2007-11-14,2007-11-15,2007-11-15,open_to_open,0.0627189481195118,0.06171894803617858,True
2008-01-09,2008-01-10,2008-01-11,2008-01-11,open_to_open,0.008937183181017123,0.0079371830976839,True
2008-01-22,2008-01-23,2008-01-24,2008-01-24,open_to_open,-0.02751990706615246,-0.028519907149485685,False
2008-01-31,2008-02-01,2008-02-04,2008-02-04,open_to_open,0.01501284503420935,0.014012844950876126,True
2008-02-08,2008-02-11,2008-02-12,2008-02-12,open_to_open,-0.020796370905093006,-0.02179637098842623,False
2008-03-11,2008-03-12,2008-03-13,2008-03-13,open_to_open,0.023414779553667883,0.02241477947033466,True
2008-03-13,2008-03-14,2008-03-17,2008-03-17,open_to_open,0.05809170522072611,0.05709170513739289,True
2008-03-17,2008-03-18,2008-03-19,2008-03-19,open_to_open,-0.030044672532229887,-0.03104467261556311,False
2008-06-10,2008-06-11,2008-06-12,2008-06-12,open_to_open,0.015581296551282493,0.01458129646794927,True
2008-06-16,2008-06-17,2008-06-18,2008-06-18,open_to_open,-0.016814241167734372,-0.017814241251067595,False
2008-07-01,2008-07-02,2008-07-03,2008-07-03,open_to_open,0.03254383309762227,0.03154383301428905,True
2008-07-22,2008-07-23,2008-07-24,2008-07-24,open_to_open,0.00406924071102433,0.0030692406276911057,True
2008-09-11,2008-09-12,2008-09-15,2008-09-15,open_to_open,0.06064505253487268,0.059645052451539456,True
2008-09-16,2008-09-17,2008-09-18,2008-09-18,open_to_open,0.058888718550435835,0.05788871846710261,True
2008-09-26,2008-09-29,2008-09-30,2008-09-30,open_to_open,0.09987718733380785,0.09887718725047462,True
2008-09-30,2008-10-01,2008-10-02,2008-10-02,open_to_open,0.03556018780608039,0.03456018772274717,True
2008-10-06,2008-10-07,2008-10-08,2008-10-08,open_to_open,0.15665892544774565,0.15565892536441242,True
2008-10-08,2008-10-09,2008-10-10,2008-10-10,open_to_open,0.08550349154807114,0.08450349146473791,True
2008-10-10,2008-10-13,2008-10-14,2008-10-14,open_to_open,-0.1061638526985696,-0.10716385278190282,False
2008-10-24,2008-10-27,2008-10-28,2008-10-28,open_to_open,-0.0037798916526165507,-0.004779891735949775,False
2008-10-28,2008-10-29,2008-10-30,2008-10-30,open_to_open,-0.0705251479486374,-0.07152514803197063,False
2008-11-13,2008-11-14,2008-11-17,2008-11-17,open_to_open,0.057961688824582254,0.05696168874124903,True
2008-11-24,2008-11-25,2008-11-26,2008-11-26,open_to_open,0.05105385821101541,0.050053858127682184,True
2008-11-26,2008-11-28,2008-12-01,2008-12-01,open_to_open,0.03656321405413164,0.03556321397079842,True
2009-10-02,2009-10-05,2009-10-06,2009-10-06,open_to_open,-0.008236411345377703,-0.009236411428710926,False
2010-02-03,2010-02-04,2010-02-05,2010-02-05,open_to_open,0.021060834396789557,0.020060834313456333,True
2010-02-05,2010-02-08,2010-02-09,2010-02-09,open_to_open,-0.0037234571475911636,-0.004723457230924388,False
2010-02-11,2010-02-12,2010-02-16,2010-02-16,open_to_open,-0.019148218224369313,-0.020148218307702536,False
2010-05-11,2010-05-12,2010-05-13,2010-05-13,open_to_open,-0.015235688587066181,-0.016235688670399404,False
2010-05-21,2010-05-24,2010-05-25,2010-05-25,open_to_open,0.03259456228889381,0.03159456220556059,True
2010-05-25,2010-05-26,2010-05-27,2010-05-27,open_to_open,-0.0020766024028770033,-0.003076602486210227,False
2010-06-10,2010-06-11,2010-06-14,2010-06-14,open_to_open,-0.030665488268014143,-0.031665488351347366,False
2010-07-07,2010-07-08,2010-07-09,2010-07-09,open_to_open,0.0215276442572805,0.020527644173947278,True
2010-07-20,2010-07-21,2010-07-22,2010-07-22,open_to_open,0.028351209627222526,0.027351209543889303,True
2010-08-12,2010-08-13,2010-08-16,2010-08-16,open_to_open,0.016305407271379413,0.01530540718804619,True
2010-08-25,2010-08-26,2010-08-27,2010-08-27,open_to_open,0.015189186732192425,0.014189186648859202,True
2010-11-22,2010-11-23,2010-11-24,2010-11-24,open_to_open,-0.004980394853276778,-0.005980394936610002,False
2011-03-11,2011-03-14,2011-03-15,2011-03-15,open_to_open,0.03187445787563282,0.030874457792299595,True
2011-04-18,2011-04-19,2011-04-20,2011-04-20,open_to_open,-0.030772961301089374,-0.0317729613844226,False
2011-05-17,2011-05-18,2011-05-19,2011-05-19,open_to_open,-0.01653569867137069,-0.017535698754703913,False
2011-05-23,2011-05-24,2011-05-25,2011-05-25,open_to_open,0.006189080328358634,0.00518908024502541,True
2011-06-21,2011-06-22,2011-06-23,2011-06-23,open_to_open,0.01931434082672358,0.018314340743390358,True
2011-06-23,2011-06-24,2011-06-27,2011-06-27,open_to_open,0.011472968967832585,0.010472968884499362,True
2011-07-18,2011-07-19,2011-07-20,2011-07-20,open_to_open,-0.04682283062370909,-0.04782283070704231,False
2011-08-09,2011-08-10,2011-08-11,2011-08-11,open_to_open,0.0016991869120589677,0.0006991868287257439,True
2011-08-23,2011-08-24,2011-08-25,2011-08-25,open_to_open,0.02272094183439175,0.02172094175105853,True
2011-08-25,2011-08-26,2011-08-29,2011-08-29,open_to_open,-0.044809017296980135,-0.04580901738031336,False
2011-10-05,2011-10-06,2011-10-07,2011-10-07,open_to_open,-0.006540654694975204,-0.007540654778308428,False
2011-12-20,2011-12-21,2011-12-22,2011-12-22,open_to_open,-0.0007815511564805109,-0.0017815512398137346,False
2012-04-17,2012-04-18,2012-04-19,2012-04-19,open_to_open,0.022242525352906873,0.02124252526957365,True
2012-05-21,2012-05-22,2012-05-23,2012-05-23,open_to_open,0.02138397804950583,0.020383977966172608,True
2012-05-23,2012-05-24,2012-05-25,2012-05-25,open_to_open,0.019782386396281618,0.018782386312948395,True
2012-05-30,2012-05-31,2012-06-01,2012-06-01,open_to_open,0.02014126736851204,0.019141267285178818,True
2012-07-23,2012-07-24,2012-07-25,2012-07-25,open_to_open,0.055724300579671836,0.05472430049633861,True
2012-09-27,2012-09-28,2012-10-01,2012-10-01,open_to_open,0.011245562159368233,0.01024556207603501,True
2012-10-16,2012-10-17,2012-10-18,2012-10-18,open_to_open,0.014404834752723712,0.013404834669390488,True
2012-10-22,2012-10-23,2012-10-24,2012-10-24,open_to_open,0.015266678355166628,0.014266678271833404,True
2012-11-19,2012-11-20,2012-11-21,2012-11-21,open_to_open,0.013484142055197618,0.012484141971864395,True
2013-04-24,2013-04-25,2013-04-26,2013-04-26,open_to_open,0.0034589782117053847,0.0024589781283721607,True
2013-07-02,2013-07-03,2013-07-05,2013-07-05,open_to_open,0.0011173663346393996,0.00011736625130617578,True
2014-08-01,2014-08-04,2014-08-05,2014-08-05,open_to_open,0.010535489161127051,0.009535489077793828,True
