decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
2004-12-31,2005-01-03,0.9696088168586502,1000.0,999.000999000999,0.0,1030.3134435571387,0.0,1.0,1.0,1030.3134435571387,0.9696088168586502,0.9705784256755088,0.9990009990009989,0.0,0.9990009990009384,0.0,True,-0.0009990009990010762,-0.9990009990010549,-0.0009990009990010762
2005-01-03,2005-01-04,0.9547904502757165,983.7334366990445,983.7334366990445,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9547904502757165,0.9547904502757165,0.0,0.0,0.0,0.0,False,-0.015282829864256331,-15.2675623019544,-0.01626656330095544
2005-01-04,2005-01-05,0.9648181826887773,994.0651442126147,994.0651442126147,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9648181826887773,0.9648181826887773,0.0,0.0,0.0,0.0,False,0.010502547873373569,10.331707513570109,-0.005934855787385396
2005-01-05,2005-01-06,0.9679619043303547,997.3041628827334,997.3041628827334,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9679619043303547,0.9679619043303547,0.0,0.0,0.0,0.0,False,0.003258356546325114,3.239018670118753,-0.0026958371172666196
2005-01-06,2005-01-07,0.9729012018224745,1002.3931874905926,1002.3931874905926,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9729012018224745,0.9729012018224745,0.0,0.0,0.0,0.0,False,0.005102780873940338,5.089024607859187,0.0
2005-01-07,2005-01-10,1.0451951815786638,1076.8786467216419,1076.8786467216419,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0451951815786638,1.0451951815786638,0.0,0.0,0.0,0.0,False,0.07430762714730466,74.48545923104928,0.0
2005-01-10,2005-01-11,1.021546477809896,1052.51306930598,1052.51306930598,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.021546477809896,1.021546477809896,0.0,0.0,0.0,0.0,False,-0.022626112505655493,-24.365577415661846,-0.022626112505655493
2005-01-11,2005-01-12,0.9796370117325586,1009.3331829941975,1009.3331829941975,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,0.9796370117325586,0.9796370117325586,0.0,0.0,0.0,0.0,False,-0.04102551081883954,-43.179886311782525,-0.06272337550110596
2005-01-12,2005-01-13,1.1032706620381154,1136.714594980055,1136.714594980055,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.1032706620381154,1.1032706620381154,0.0,0.0,0.0,0.0,False,0.1262035313334089,127.38141198585743,0.0
2005-01-13,2005-01-14,1.0514819500063157,1083.3559887491824,1083.3559887491824,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0514819500063157,1.0514819500063157,0.0,0.0,0.0,0.0,False,-0.04694107603308173,-53.35860623087251,-0.04694107603308173
2005-01-14,2005-01-18,1.0454944461697686,1077.186983053038,1077.186983053038,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0454944461697686,1.0454944461697686,0.0,0.0,0.0,0.0,False,-0.0056943477123038155,-6.169005696144495,-0.05236812493646348
2005-01-18,2005-01-19,1.055074031583196,1087.056958688196,1087.056958688196,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.055074031583196,1.055074031583196,0.0,0.0,0.0,0.0,False,0.00916273199587292,9.86997563515797,-0.04368522803450969
2005-01-19,2005-01-20,1.0425012885606797,1074.1030925297082,1074.1030925297082,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0425012885606797,1.0425012885606797,0.0,0.0,0.0,0.0,False,-0.011916455761545097,-12.953866158487699,-0.05508111070874855
2005-01-20,2005-01-21,1.067348163618498,1099.703161932163,1099.703161932163,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.067348163618498,1.067348163618498,0.0,0.0,0.0,0.0,False,0.02383390344977232,25.600069402454892,-0.03256000513351487
2005-01-21,2005-01-24,1.0624082046930985,1094.6134558407039,1094.6134558407039,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0624082046930985,1.0624082046930985,0.0,0.0,0.0,0.0,False,-0.004628254485070982,-5.08970609145922,-0.037037563628792625
2005-01-24,2005-01-25,1.0682450871912146,1100.6272743469763,1100.6272743469763,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0682450871912146,1.0682450871912146,0.0,0.0,0.0,0.0,False,0.005494011127109344,6.0138185062724006,-0.03174703728838091
2005-01-25,2005-01-26,1.0875540832266717,1120.5215925438993,1120.5215925438993,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0875540832266717,1.0875540832266717,0.0,0.0,0.0,0.0,False,0.018075436308560233,19.894318196922995,-0.014245442530312347
2005-01-26,2005-01-27,1.0800695594628504,1112.8101870914113,1112.8101870914113,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0800695594628504,1.0800695594628504,0.0,0.0,0.0,0.0,False,-0.0068819784498582726,-7.711405452487952,-0.02102938415166833
2005-01-27,2005-01-28,1.0869555721310715,1119.9049385159842,1119.9049385159842,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.0869555721310715,1.0869555721310715,0.0,0.0,0.0,0.0,False,0.006375527027764338,7.094751424572905,-0.014787930530940074
2005-01-28,2005-01-31,1.116292705795673,1150.131381726056,1150.131381726056,0.0,1030.3134435571387,1.0,1.0,1.0,0.0,1.116292705795673,1.116292705795673,0.0,0.0,0.0,0.0,False,0.026990186551124173,30.226443210071693,0.0
