decision_date,entry_date,buyback_date,reference_exit_date,mode,raw_active_log_edge,net_active_log_edge,win
2005-01-07,2005-01-10,2005-01-10,2005-01-11,intraday,0.012536511124026114,0.010536510457359115,True
2005-01-31,2005-02-01,2005-02-01,2005-02-02,intraday,-0.006210107015611717,-0.008210107682278716,False
2005-04-21,2005-04-22,2005-04-22,2005-04-25,intraday,0.037051446761128086,0.035051446094461085,True
2005-05-04,2005-05-05,2005-05-05,2005-05-06,intraday,0.01542020030606232,0.01342019963939532,True
2005-07-05,2005-07-06,2005-07-06,2005-07-07,intraday,0.008522394754641399,0.006522394087974399,True
2005-07-07,2005-07-08,2005-07-08,2005-07-11,intraday,-0.00998402243897079,-0.01198402310563779,False
2005-08-12,2005-08-15,2005-08-15,2005-08-16,intraday,-0.02548985671529126,-0.027489857381958256,False
2005-10-13,2005-10-14,2005-10-14,2005-10-17,intraday,0.0005557230173132277,-0.0014442776493537712,False
2006-01-30,2006-01-31,2006-01-31,2006-02-01,intraday,-0.00013235616133940915,-0.002132356828006408,False
2006-02-10,2006-02-13,2006-02-13,2006-02-14,intraday,0.029239442637285108,0.02723944197061811,True
2006-02-14,2006-02-15,2006-02-15,2006-02-16,intraday,-0.030212210082852478,-0.03221221074951948,False
2006-06-01,2006-06-02,2006-06-02,2006-06-05,intraday,0.021340619597525343,0.019340618930858346,True
2006-06-08,2006-06-09,2006-06-09,2006-06-12,intraday,0.03222342358986427,0.030223422923197272,True
2006-06-15,2006-06-16,2006-06-16,2006-06-19,intraday,0.024031460989444357,0.02203146032277736,True
2007-02-28,2007-03-01,2007-03-01,2007-03-02,intraday,-0.035423923263617506,-0.03742392393028451,False
2007-03-12,2007-03-13,2007-03-13,2007-03-14,intraday,0.011360372743869447,0.009360372077202448,True
2007-08-21,2007-08-22,2007-08-22,2007-08-23,intraday,-0.009782729965358885,-0.011782730632025885,False
2007-11-13,2007-11-14,2007-11-14,2007-11-15,intraday,0.06440313181245907,0.06240313114579207,True
2008-01-09,2008-01-10,2008-01-10,2008-01-11,intraday,-0.002474673419536023,-0.004474674086203022,False
2008-01-22,2008-01-23,2008-01-23,2008-01-24,intraday,-0.020926426923741942,-0.02292642759040894,False
2008-01-31,2008-02-01,2008-02-01,2008-02-04,intraday,0.01844557837747556,0.01644557771080856,True
2008-02-08,2008-02-11,2008-02-11,2008-02-12,intraday,-0.011186161861233793,-0.013186162527900792,False
2008-03-11,2008-03-12,2008-03-12,2008-03-13,intraday,0.007982206415175008,0.005982205748508008,True
2008-03-13,2008-03-14,2008-03-14,2008-03-17,intraday,0.02549920279765172,0.023499202130984723,True
2008-03-17,2008-03-18,2008-03-18,2008-03-19,intraday,-0.027787972664725297,-0.029787973331392294,False
2008-06-10,2008-06-11,2008-06-11,2008-06-12,intraday,0.0193350537555596,0.0173350530888926,True
2008-06-16,2008-06-17,2008-06-17,2008-06-18,intraday,-0.018524767173756205,-0.020524767840423203,False
2008-07-01,2008-07-02,2008-07-02,2008-07-03,intraday,0.0408932663409991,0.0388932656743321,True
2008-07-22,2008-07-23,2008-07-23,2008-07-24,intraday,-0.007667976423875209,-0.009667977090542209,False
2008-09-11,2008-09-12,2008-09-12,2008-09-15,intraday,0.01314012533371298,0.01114012466704598,True
2008-09-16,2008-09-17,2008-09-17,2008-09-18,intraday,0.08009679360800107,0.07809679294133406,True
2008-09-26,2008-09-29,2008-09-29,2008-09-30,intraday,0.1278865221710986,0.1258865215044316,True
2008-09-30,2008-10-01,2008-10-01,2008-10-02,intraday,0.02533617185801225,0.02333617119134525,True
2008-10-06,2008-10-07,2008-10-07,2008-10-08,intraday,0.1195259680914425,0.1175259674247755,True
2008-10-08,2008-10-09,2008-10-09,2008-10-10,intraday,0.05064517700672269,0.04864517634005569,True
2008-10-10,2008-10-13,2008-10-13,2008-10-14,intraday,-0.053175635776079665,-0.055175636442746666,False
2008-10-24,2008-10-27,2008-10-27,2008-10-28,intraday,0.03184690328098251,0.029846902614315513,True
2008-10-28,2008-10-29,2008-10-29,2008-10-30,intraday,-0.03593204893885171,-0.037932049605518714,False
2008-11-13,2008-11-14,2008-11-14,2008-11-17,intraday,0.038265473443408214,0.03626547277674121,True
2008-11-24,2008-11-25,2008-11-25,2008-11-26,intraday,0.04131534677053097,0.03931534610386397,True
2008-11-26,2008-11-28,2008-11-28,2008-12-01,intraday,0.021669200653046904,0.019669199986379907,True
2009-10-02,2009-10-05,2009-10-05,2009-10-06,intraday,0.0009672639364657184,-0.0010327367302012805,False
2010-02-03,2010-02-04,2010-02-04,2010-02-05,intraday,0.024076339282015115,0.022076338615348117,True
2010-02-05,2010-02-08,2010-02-08,2010-02-09,intraday,0.008055297236519389,0.006055296569852389,True
2010-02-11,2010-02-12,2010-02-12,2010-02-16,intraday,-0.01139319153360636,-0.013393192200273359,False
2010-05-11,2010-05-12,2010-05-12,2010-05-13,intraday,-0.010933779617511548,-0.012933780284178548,False
2010-05-21,2010-05-24,2010-05-24,2010-05-25,intraday,0.002105141725342277,0.00010514105867527818,True
2010-05-25,2010-05-26,2010-05-26,2010-05-27,intraday,0.02416198987978876,0.022161989213121763,True
2010-06-10,2010-06-11,2010-06-11,2010-06-14,intraday,-0.021047589025898733,-0.02304758969256573,False
2010-07-07,2010-07-08,2010-07-08,2010-07-09,intraday,0.01686655457725062,0.014866553910583622,True
2010-07-20,2010-07-21,2010-07-21,2010-07-22,intraday,0.041790668378241684,0.03979066771157468,True
2010-08-12,2010-08-13,2010-08-13,2010-08-16,intraday,0.010184777046364484,0.008184776379697485,True
