decision_date,event_date,event_time,side,reference_price,fill_price,signed_share_delta,cash_after,shares_after,equity_at_reference_after,target_exposure_after,slippage
2004-12-31,2005-01-03,open,buy,0.9696088168586502,0.9705784256755088,1030.313443557139,0.0,1030.313443557139,999.0009990009992,1.0,0.9990009990009386
2005-01-07,2005-01-10,open,sell,1.0451951815786638,1.0441499863970851,-1030.313443557139,1075.8017680749206,0.0,1075.8017680749206,0.0,1.0768786467216174
2005-01-07,2005-01-10,close,buy,1.0321738719940186,1.0332060458660124,1041.2267450227755,0.0,1041.2267450227755,1074.727041033887,1.0,1.0747270410336964
2005-01-31,2005-02-01,open,sell,1.1532624762982118,1.1521092138219136,-1041.2267450227755,1199.60692661854,0.0,1199.60692661854,0.0,1.2008077343528925
2005-01-31,2005-02-01,close,buy,1.1604466438293457,1.161607090473175,1032.7131578801623,0.0,1032.7131578801623,1198.4085181004396,1.0,1.1984085181003974
2005-04-21,2005-04-22,open,sell,1.1028211834741943,1.10171836229072,-1032.7131578801623,1137.7590490158102,0.0,1137.7590490158102,0.0,1.1388979469628484
2005-04-21,2005-04-22,close,buy,1.062707781791687,1.0637704895734785,1069.5531227530082,0.0,1069.5531227530082,1136.6224265892213,1.0,1.1366224265890388
2005-05-04,2005-05-05,open,sell,1.1150941225847315,1.1139790284621467,-1069.5531227530082,1191.4597485730512,0.0,1191.4597485730512,0.0,1.192652400974114
2005-05-04,2005-05-05,close,buy,1.0980310440063477,1.099129075050354,1084.003485685671,0.0,1084.003485685671,1190.2694790939572,1.0,1.1902694790939032
2005-07-05,2005-07-06,open,sell,1.128865460563744,1.1277365951031804,-1084.003485685671,1222.4704000271377,0.0,1222.4704000271377,0.0,1.2236940941211865
2005-07-05,2005-07-06,close,buy,1.1192857027053833,1.1204049884080887,1091.0968914589243,0.0,1091.0968914589243,1221.2491508762614,1.0,1.2212491508762402
2005-07-07,2005-07-08,open,sell,1.1336545414102046,1.1325208868687944,-1091.0968914589243,1235.6900191748457,0.0,1235.6900191748457,0.0,1.2369269461209986
2005-07-07,2005-07-08,close,buy,1.1450296640396118,1.1461746937036512,1078.0991989815639,0.0,1078.0991989815639,1234.4555636112348,1.0,1.2344555636110048
