decision_date,entry_date,buyback_date,reference_exit_date,mode,raw_active_log_edge,net_active_log_edge,win
2005-01-07,2005-01-10,2005-01-11,2005-01-11,open_to_open,0.022886010796866713,0.020886010130199716,True
2005-01-31,2005-02-01,2005-02-02,2005-02-02,open_to_open,-0.011612640735564537,-0.013612641402231536,False
2005-04-21,2005-04-22,2005-04-25,2005-04-25,open_to_open,0.009546526908020532,0.007546526241353532,True
2005-05-04,2005-05-05,2005-05-06,2005-05-06,open_to_open,0.009711181776901837,0.007711181110234838,True
2005-07-05,2005-07-06,2005-07-07,2005-07-07,open_to_open,0.02415594076366065,0.02215594009699365,True
2005-07-07,2005-07-08,2005-07-11,2005-07-11,open_to_open,-0.013116055759889703,-0.015116056426556702,False
2005-08-12,2005-08-15,2005-08-16,2005-08-16,open_to_open,-0.01938931657881742,-0.02138931724548442,False
2005-10-13,2005-10-14,2005-10-17,2005-10-17,open_to_open,0.0009259002376646909,-0.0010741004290023082,False
2006-01-30,2006-01-31,2006-02-01,2006-02-01,open_to_open,0.007311279341957042,0.0053112786752900435,True
2006-02-10,2006-02-13,2006-02-14,2006-02-14,open_to_open,0.023230776161745927,0.02123077549507893,True
2006-02-14,2006-02-15,2006-02-16,2006-02-16,open_to_open,-0.04013125662954399,-0.04213125729621099,False
2006-06-01,2006-06-02,2006-06-05,2006-06-05,open_to_open,0.029645868518610598,0.0276458678519436,True
2006-06-08,2006-06-09,2006-06-12,2006-06-12,open_to_open,0.029525745201929098,0.0275257445352621,True
2006-06-15,2006-06-16,2006-06-19,2006-06-19,open_to_open,0.019351377265232516,0.01735137659856552,True
2007-02-28,2007-03-01,2007-03-02,2007-03-02,open_to_open,-0.03208738249316203,-0.03408738315982903,False
2007-03-12,2007-03-13,2007-03-14,2007-03-14,open_to_open,0.009100479945058075,0.007100479278391076,True
2007-08-21,2007-08-22,2007-08-23,2007-08-23,open_to_open,-0.014149768630978565,-0.016149769297645562,False
2007-11-13,2007-11-14,2007-11-15,2007-11-15,open_to_open,0.0627189481195118,0.0607189474528448,True
2008-01-09,2008-01-10,2008-01-11,2008-01-11,open_to_open,0.008937183181017123,0.006937182514350123,True
2008-01-22,2008-01-23,2008-01-24,2008-01-24,open_to_open,-0.02751990706615246,-0.02951990773281946,False
2008-01-31,2008-02-01,2008-02-04,2008-02-04,open_to_open,0.01501284503420935,0.01301284436754235,True
2008-02-08,2008-02-11,2008-02-12,2008-02-12,open_to_open,-0.020796370905093006,-0.022796371571760003,False
2008-03-11,2008-03-12,2008-03-13,2008-03-13,open_to_open,0.023414779553667883,0.021414778887000885,True
2008-03-13,2008-03-14,2008-03-17,2008-03-17,open_to_open,0.05809170522072611,0.05609170455405911,True
2008-03-17,2008-03-18,2008-03-19,2008-03-19,open_to_open,-0.030044672532229887,-0.03204467319889689,False
2008-06-10,2008-06-11,2008-06-12,2008-06-12,open_to_open,0.015581296551282493,0.013581295884615494,True
2008-06-16,2008-06-17,2008-06-18,2008-06-18,open_to_open,-0.016814241167734372,-0.01881424183440137,False
2008-07-01,2008-07-02,2008-07-03,2008-07-03,open_to_open,0.03254383309762227,0.030543832430955275,True
2008-07-22,2008-07-23,2008-07-24,2008-07-24,open_to_open,0.00406924071102433,0.0020692400443573307,True
2008-09-11,2008-09-12,2008-09-15,2008-09-15,open_to_open,0.06064505253487268,0.05864505186820568,True
2008-09-16,2008-09-17,2008-09-18,2008-09-18,open_to_open,0.058888718550435835,0.056888717883768834,True
2008-09-26,2008-09-29,2008-09-30,2008-09-30,open_to_open,0.09987718733380785,0.09787718666714085,True
2008-09-30,2008-10-01,2008-10-02,2008-10-02,open_to_open,0.03556018780608039,0.03356018713941339,True
2008-10-06,2008-10-07,2008-10-08,2008-10-08,open_to_open,0.15665892544774565,0.15465892478107865,True
2008-10-08,2008-10-09,2008-10-10,2008-10-10,open_to_open,0.08550349154807114,0.08350349088140414,True
