policy,decision_date,entry_date,exit_date,raw_active_log_edge,net_active_log_edge,win
selector,2012-04-17,2012-04-18,2012-04-19,0.022242525352906873,0.02124252526957365,True
selector,2012-05-21,2012-05-22,2012-05-23,0.02138397804950583,0.020383977966172608,True
selector,2012-05-23,2012-05-24,2012-05-25,0.019782386396281618,0.018782386312948395,True
selector,2012-05-30,2012-05-31,2012-06-01,0.02014126736851204,0.019141267285178818,True
selector,2012-10-22,2012-10-23,2012-10-24,0.015266678355166628,0.014266678271833404,True
selector,2012-11-19,2012-11-20,2012-11-21,0.013484142055197618,0.012484141971864395,True
selector,2013-07-02,2013-07-03,2013-07-05,0.0011173663346393996,0.00011736625130617578,True
selector,2014-08-01,2014-08-04,2014-08-05,0.010535489161127051,0.009535489077793828,True
selector,2014-09-23,2014-09-24,2014-09-25,0.01628295812035651,0.015282958037023286,True
selector,2014-09-26,2014-09-29,2014-09-30,-0.021659475381796578,-0.0226594754651298,False
selector,2014-10-08,2014-10-09,2014-10-10,0.00840636903768001,0.0074063689543467865,True
selector,2014-10-20,2014-10-21,2014-10-22,0.0017490020217641518,0.000749001938430928,True
selector,2014-12-17,2014-12-18,2014-12-19,-0.003480209444835497,-0.004480209528168721,False
selector,2015-01-08,2015-01-09,2015-01-12,0.0006214798097778298,-0.00037852027355539397,False
selector,2015-04-06,2015-04-07,2015-04-08,0.014123210185946472,0.01312321010261325,True
selector,2015-08-12,2015-08-13,2015-08-14,0.014933393072199633,0.01393339298886641,True
selector,2015-08-14,2015-08-17,2015-08-18,-0.003355404350270907,-0.004355404433604131,False
selector,2015-08-24,2015-08-25,2015-08-26,0.03685067876417787,0.03585067868084465,True
selector,2015-08-26,2015-08-27,2015-08-28,0.0005348867560311613,-0.0004651133273020625,False
selector,2015-09-02,2015-09-03,2015-09-04,0.031791675344435374,0.03079167526110215,True
selector,2015-09-11,2015-09-14,2015-09-15,0.00559096601536525,0.004590965932032026,True
selector,2015-09-24,2015-09-25,2015-09-28,0.022494242242891423,0.0214942421595582,True
selector,2016-01-04,2016-01-05,2016-01-06,0.05032327350918339,0.04932327342585017,True
selector,2016-01-22,2016-01-25,2016-01-26,0.015786079623813412,0.014786079540480189,True
selector,2016-09-12,2016-09-13,2016-09-14,-0.011284417189305302,-0.012284417272638525,False
selector,2016-09-14,2016-09-15,2016-09-16,-0.0110056411605635,-0.012005641243896723,False
selector,2017-08-29,2017-08-30,2017-08-31,0.0009774755229443508,-2.2524560388873004e-05,False
selector,2018-02-06,2018-02-07,2018-02-08,0.017317432808240517,0.016317432724907294,True
selector,2018-02-12,2018-02-13,2018-02-14,-0.00670792846055051,-0.007707928543883734,False
selector,2018-02-14,2018-02-15,2018-02-16,-0.015023019131240222,-0.016023019214573445,False
selector,2018-03-26,2018-03-27,2018-03-28,0.03772477646852818,0.03672477638519496,True
selector,2018-04-04,2018-04-05,2018-04-06,0.009373024106378022,0.008373024023044798,True
selector,2018-07-02,2018-07-03,2018-07-05,0.013564091448123813,0.01256409136479059,True
selector,2018-10-09,2018-10-10,2018-10-11,0.049739753929903804,0.04873975384657058,True
selector,2018-10-16,2018-10-17,2018-10-18,0.020175170906470138,0.019175170823136915,True
selector,2018-10-23,2018-10-24,2018-10-25,0.022212680102756746,0.021212680019423523,True
selector,2018-11-01,2018-11-02,2018-11-05,0.025373180730984237,0.024373180647651014,True
selector,2018-11-15,2018-11-16,2018-11-19,0.0026281654274314115,0.0016281653440981877,True
selector,2018-12-26,2018-12-27,2018-12-28,-0.010595748541313506,-0.01159574862464673,False
union,2012-04-17,2012-04-18,2012-04-19,0.022242525352906873,0.02124252526957365,True
union,2012-05-21,2012-05-22,2012-05-23,0.02138397804950583,0.020383977966172608,True
union,2012-05-23,2012-05-24,2012-05-25,0.019782386396281618,0.018782386312948395,True
union,2012-05-30,2012-05-31,2012-06-01,0.02014126736851204,0.019141267285178818,True
union,2012-07-23,2012-07-24,2012-07-25,0.055724300579671836,0.05472430049633861,True
union,2012-09-27,2012-09-28,2012-10-01,0.011245562159368233,0.01024556207603501,True
union,2012-10-16,2012-10-17,2012-10-18,0.014404834752723712,0.013404834669390488,True
union,2012-10-22,2012-10-23,2012-10-24,0.015266678355166628,0.014266678271833404,True
union,2012-11-19,2012-11-20,2012-11-21,0.013484142055197618,0.012484141971864395,True
union,2013-04-24,2013-04-25,2013-04-26,0.0034589782117053847,0.0024589781283721607,True
union,2013-07-02,2013-07-03,2013-07-05,0.0011173663346393996,0.00011736625130617578,True
union,2014-08-01,2014-08-04,2014-08-05,0.010535489161127051,0.009535489077793828,True
union,2014-09-23,2014-09-24,2014-09-25,0.01628295812035651,0.015282958037023286,True
union,2014-09-26,2014-09-29,2014-09-30,-0.021659475381796578,-0.0226594754651298,False
union,2014-10-08,2014-10-09,2014-10-10,0.00840636903768001,0.0074063689543467865,True
union,2014-10-20,2014-10-21,2014-10-22,0.0017490020217641518,0.000749001938430928,True
union,2014-12-17,2014-12-18,2014-12-19,-0.003480209444835497,-0.004480209528168721,False
union,2015-01-08,2015-01-09,2015-01-12,0.0006214798097778298,-0.00037852027355539397,False
union,2015-03-12,2015-03-13,2015-03-16,0.004188640085429072,0.003188640002095848,True
union,2015-04-06,2015-04-07,2015-04-08,0.014123210185946472,0.01312321010261325,True
union,2015-08-05,2015-08-06,2015-08-07,0.012058517311627028,0.011058517228293804,True
union,2015-08-12,2015-08-13,2015-08-14,0.014933393072199633,0.01393339298886641,True
union,2015-08-14,2015-08-17,2015-08-18,-0.003355404350270907,-0.004355404433604131,False
union,2015-08-24,2015-08-25,2015-08-26,0.03685067876417787,0.03585067868084465,True
union,2015-08-26,2015-08-27,2015-08-28,0.0005348867560311613,-0.0004651133273020625,False
union,2015-09-02,2015-09-03,2015-09-04,0.031791675344435374,0.03079167526110215,True
union,2015-09-11,2015-09-14,2015-09-15,0.00559096601536525,0.004590965932032026,True
union,2015-09-24,2015-09-25,2015-09-28,0.022494242242891423,0.0214942421595582,True
union,2015-10-02,2015-10-05,2015-10-06,-0.006802225584682338,-0.0078022256680155624,False
union,2015-11-16,2015-11-17,2015-11-18,-0.0072827334529407695,-0.008282733536273993,False
union,2016-01-04,2016-01-05,2016-01-06,0.05032327350918339,0.04932327342585017,True
union,2016-01-22,2016-01-25,2016-01-26,0.015786079623813412,0.014786079540480189,True
union,2016-01-29,2016-02-01,2016-02-02,0.010943828799624522,0.009943828716291299,True
union,2016-09-12,2016-09-13,2016-09-14,-0.011284417189305302,-0.012284417272638525,False
union,2016-09-14,2016-09-15,2016-09-16,-0.0110056411605635,-0.012005641243896723,False
union,2017-08-09,2017-08-10,2017-08-11,0.02085385489698138,0.019853854813648156,True
union,2017-08-29,2017-08-30,2017-08-31,0.0009774755229443508,-2.2524560388873004e-05,False
union,2018-02-06,2018-02-07,2018-02-08,0.017317432808240517,0.016317432724907294,True
union,2018-02-12,2018-02-13,2018-02-14,-0.00670792846055051,-0.007707928543883734,False
union,2018-02-14,2018-02-15,2018-02-16,-0.015023019131240222,-0.016023019214573445,False
union,2018-03-26,2018-03-27,2018-03-28,0.03772477646852818,0.03672477638519496,True
union,2018-04-04,2018-04-05,2018-04-06,0.009373024106378022,0.008373024023044798,True
union,2018-04-30,2018-05-01,2018-05-02,-0.05164434254684983,-0.052644342630183055,False
union,2018-07-02,2018-07-03,2018-07-05,0.013564091448123813,0.01256409136479059,True
union,2018-09-11,2018-09-12,2018-09-13,0.006332712623238807,0.005332712539905583,True
union,2018-09-13,2018-09-14,2018-09-17,0.0160755887707393,0.015075588687406077,True
union,2018-10-09,2018-10-10,2018-10-11,0.049739753929903804,0.04873975384657058,True
union,2018-10-16,2018-10-17,2018-10-18,0.020175170906470138,0.019175170823136915,True
union,2018-10-23,2018-10-24,2018-10-25,0.022212680102756746,0.021212680019423523,True
union,2018-11-01,2018-11-02,2018-11-05,0.025373180730984237,0.024373180647651014,True
union,2018-11-15,2018-11-16,2018-11-19,0.0026281654274314115,0.0016281653440981877,True
union,2018-11-27,2018-11-28,2018-11-29,-0.03300325413212722,-0.034003254215460445,False
union,2018-12-06,2018-12-07,2018-12-10,0.050174894047258396,0.04917489396392517,True
union,2018-12-10,2018-12-11,2018-12-12,0.007367523022371631,0.006367522939038407,True
union,2018-12-26,2018-12-27,2018-12-28,-0.010595748541313506,-0.01159574862464673,False
