strategy_decision_date,strategy_fill_date,strategy_adjusted_open,strategy_equity_before_fill,strategy_equity,strategy_cash,strategy_shares,strategy_holding_exposure_for_return,strategy_target_exposure,strategy_new_exposure_after_fill,strategy_signed_share_delta,strategy_reference_price,strategy_fill_price,strategy_turnover,strategy_fees,strategy_slippage,strategy_margin_interest,strategy_trade_executed,strategy_daily_return,strategy_monetary_pnl,strategy_drawdown,aapl_decision_date,aapl_fill_date,aapl_adjusted_open,aapl_equity_before_fill,aapl_equity,aapl_cash,aapl_shares,aapl_holding_exposure_for_return,aapl_target_exposure,aapl_new_exposure_after_fill,aapl_signed_share_delta,aapl_reference_price,aapl_fill_price,aapl_turnover,aapl_fees,aapl_slippage,aapl_margin_interest,aapl_trade_executed,aapl_daily_return,aapl_monetary_pnl,aapl_drawdown
1999-12-31,2000-01-03,0.7848695360561967,1000.0,999.5002498750625,0.0,1273.460370111114,0.0,1.0,1.0,1273.460370111114,0.7848695360561967,0.7852619708242248,0.9995002498750626,0.0,0.49975012493751125,0.0,True,-0.0004997501249374148,-0.4997501249374636,-0.0004997501249374148,1999-12-31,2000-01-03,0.7848695360561967,1000.0,999.5002498750625,0.0,1273.460370111114,0.0,1.0,1.0,1273.460370111114,0.7848695360561967,0.7852619708242248,0.9995002498750626,0.0,0.49975012493751125,0.0,True,-0.0004997501249374148,-0.4997501249374636,-0.0004997501249374148
2000-01-03,2000-01-04,0.8101275341259804,1031.665309445275,1031.665309445275,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.8101275341259804,0.8101275341259804,0.0,0.0,0.0,0.0,False,0.03218114209999756,32.16505957021241,0.0,2000-01-03,2000-01-04,0.8101275341259804,1031.665309445275,1031.665309445275,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.8101275341259804,0.8101275341259804,0.0,0.0,0.0,0.0,False,0.03218114209999756,32.16505957021241,0.0
2000-01-04,2000-01-05,0.7764498726051714,988.7781421405087,988.7781421405087,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7764498726051714,0.7764498726051714,0.0,0.0,0.0,0.0,False,-0.04157081459667045,-42.887167304766194,-0.04157081459667045,2000-01-04,2000-01-05,0.7764498726051714,988.7781421405087,988.7781421405087,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7764498726051714,0.7764498726051714,0.0,0.0,0.0,0.0,False,-0.04157081459667045,-42.887167304766194,-0.04157081459667045
2000-01-05,2000-01-06,0.7942245047027412,1011.413431710069,1011.413431710069,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7942245047027412,0.7942245047027412,0.0,0.0,0.0,0.0,False,0.0228921823863939,22.6352895695602,-0.019630278879974594,2000-01-05,2000-01-06,0.7942245047027412,1011.413431710069,1011.413431710069,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7942245047027412,0.7942245047027412,0.0,0.0,0.0,0.0,False,0.0228921823863939,22.6352895695602,-0.019630278879974594
2000-01-06,2000-01-07,0.7221921978639693,919.6831435832091,919.6831435832091,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7221921978639693,0.7221921978639693,0.0,0.0,0.0,0.0,False,-0.09069514527977429,-91.73028812685982,-0.10854505316484708,2000-01-06,2000-01-07,0.7221921978639693,919.6831435832091,919.6831435832091,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7221921978639693,0.7221921978639693,0.0,0.0,0.0,0.0,False,-0.09069514527977429,-91.73028812685982,-0.10854505316484708
2000-01-07,2000-01-10,0.7633532000437437,972.1000486532091,972.1000486532091,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7633532000437437,0.7633532000437437,0.0,0.0,0.0,0.0,False,0.05699452625148349,52.416905069999984,-0.0577370007954362,2000-01-07,2000-01-10,0.7633532000437437,972.1000486532091,972.1000486532091,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7633532000437437,0.7633532000437437,0.0,0.0,0.0,0.0,False,0.05699452625148349,52.416905069999984,-0.0577370007954362
2000-01-10,2000-01-11,0.7179826423614357,914.3224414749494,914.3224414749494,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7179826423614357,0.7179826423614357,0.0,0.0,0.0,0.0,False,-0.05943586491771846,-57.7776071782597,-0.11374121713312302,2000-01-10,2000-01-11,0.7179826423614357,914.3224414749494,914.3224414749494,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7179826423614357,0.7179826423614357,0.0,0.0,0.0,0.0,False,-0.05943586491771846,-57.7776071782597,-0.11374121713312302
2000-01-11,2000-01-12,0.7109661585692337,905.3872274280533,905.3872274280533,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7109661585692337,0.7109661585692337,0.0,0.0,0.0,0.0,False,-0.009772497799006463,-8.935214046896135,-0.12240217913803964,2000-01-11,2000-01-12,0.7109661585692337,905.3872274280533,905.3872274280533,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7109661585692337,0.7109661585692337,0.0,0.0,0.0,0.0,False,-0.009772497799006463,-8.935214046896135,-0.12240217913803964
2000-01-12,2000-01-13,0.7071070904310869,900.4728570885648,900.4728570885648,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7071070904310869,0.7071070904310869,0.0,0.0,0.0,0.0,False,-0.005427920994035773,-4.914370339488528,-0.12716571077421635,2000-01-12,2000-01-13,0.7071070904310869,900.4728570885648,900.4728570885648,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7071070904310869,0.7071070904310869,0.0,0.0,0.0,0.0,False,-0.005427920994035773,-4.914370339488528,-0.12716571077421635
2000-01-13,2000-01-14,0.7483852878390458,953.0390056372238,953.0390056372238,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7483852878390458,0.7483852878390458,0.0,0.0,0.0,0.0,False,0.05837616107454635,52.566148548659044,-0.07621299571498474,2000-01-13,2000-01-14,0.7483852878390458,953.0390056372238,953.0390056372238,0.0,1273.460370111114,1.0,1.0,1.0,0.0,0.7483852878390458,0.7483852878390458,0.0,0.0,0.0,0.0,False,0.05837616107454635,52.566148548659044,-0.07621299571498474
