sequence,accession_number,form,filing_date,availability_session,scheduled,reason,entry_open,exit_open,complete_by_2018
124,0000912057-00-003201,10-Q,2000-02-01,2000-02-02,True,scheduled,2000-02-03,2000-03-03,True
125,0000912057-00-023442,10-Q,2000-05-11,2000-05-12,True,scheduled,2000-05-15,2000-06-13,True
126,0000912057-00-033901,10-Q,2000-07-31,2000-08-01,True,scheduled,2000-08-02,2000-08-30,True
127,0000912057-00-053623,10-K,2000-12-14,2000-12-15,True,scheduled,2000-12-18,2001-01-18,True
128,0000912057-01-004642,10-Q,2001-02-12,2001-02-13,True,scheduled,2001-02-14,2001-03-15,True
129,0000912057-01-515409,10-Q,2001-05-14,2001-05-15,True,scheduled,2001-05-16,2001-06-14,True
130,0000912057-01-528148,10-Q,2001-08-13,2001-08-14,True,scheduled,2001-08-15,2001-09-19,True
131,0000912057-02-004945,10-Q,2002-02-11,2002-02-12,True,scheduled,2002-02-13,2002-03-14,True
132,0000912057-02-020280,10-Q,2002-05-14,2002-05-15,True,scheduled,2002-05-16,2002-06-14,True
133,0000912057-02-030796,10-Q,2002-08-09,2002-08-12,True,scheduled,2002-08-13,2002-09-11,True
134,0001047469-02-007674,10-K,2002-12-19,2002-12-20,True,scheduled,2002-12-23,2003-01-23,True
135,0001047469-03-004566,10-Q,2003-02-10,2003-02-11,True,scheduled,2003-02-12,2003-03-13,True
136,0001104659-03-009489,10-Q,2003-05-13,2003-05-14,True,scheduled,2003-05-15,2003-06-13,True
137,0001104659-03-017766,10-Q,2003-08-12,2003-08-13,True,scheduled,2003-08-14,2003-09-12,True
138,0001047469-03-041604,10-K,2003-12-19,2003-12-22,True,scheduled,2003-12-23,2004-01-23,True
139,0001104659-04-003080,10-Q,2004-02-10,2004-02-11,True,scheduled,2004-02-12,2004-03-12,True
140,0001104659-04-013021,10-Q,2004-05-06,2004-05-07,True,scheduled,2004-05-10,2004-06-08,True
141,0001104659-04-022384,10-Q,2004-08-05,2004-08-06,True,scheduled,2004-08-09,2004-09-07,True
142,0001047469-04-035975,10-K,2004-12-03,2004-12-06,True,scheduled,2004-12-07,2005-01-05,True
143,0001104659-05-003520,10-Q,2005-02-01,2005-02-02,True,scheduled,2005-02-03,2005-03-04,True
144,0001104659-05-020421,10-Q,2005-05-04,2005-05-05,True,scheduled,2005-05-06,2005-06-06,True
145,0001104659-05-035792,10-Q,2005-08-03,2005-08-04,True,scheduled,2005-08-05,2005-09-02,True
