decision_date,aapl_intraday_return,contextual_prior_intraday_percentile,contextual_spy_return_10,contextual_qqq_return_10,contextual_ready,contextual_raw_signal,contextual_virtual_signal,contextual_virtual_signal_blocked,contextual_virtual_signal_pending_stage_outcome,weak_trend_prior_intraday_percentile,weak_trend_spy_return_20,weak_trend_qqq_return_20,weak_trend_aapl_sma_20,weak_trend_ready,weak_trend_raw_signal,weak_trend_virtual_signal,weak_trend_virtual_signal_blocked,weak_trend_virtual_signal_pending_stage_outcome,unfiltered_union_candidate_signal,unfiltered_union_signal,unfiltered_union_signal_blocked,unfiltered_union_signal_pending_stage_outcome,stage_outcome_available,always_long_target_exposure,unfiltered_contextual_target_exposure,unfiltered_weak_trend_target_exposure,unfiltered_union_target_exposure,aapl_intraday_rank_126,feature_intercept,feature_weak_only,feature_expert_overlap,feature_tail_strength,feature_market_sentiment_10,feature_market_sentiment_20,feature_aapl_trend,union_candidate_signal,shadow_canonical_union_signal,canonical_union_cash_signal,shadow_matures_on_close,shadow_matured_now,shadow_signal_close,shadow_label_10bps,shadow_lesson_added_now,shadow_pending,n_raw,n_eff,wins,label_sum,squared_label_sum,model_mu,model_se,model_upper,model_ready,model_veto_prediction,veto,state_A_0_0,state_A_0_1,state_A_0_2,state_A_0_3,state_A_0_4,state_A_0_5,state_A_0_6,state_b_0,model_beta_0,state_A_1_1,state_A_1_2,state_A_1_3,state_A_1_4,state_A_1_5,state_A_1_6,state_b_1,model_beta_1,state_A_2_2,state_A_2_3,state_A_2_4,state_A_2_5,state_A_2_6,state_b_2,model_beta_2,state_A_3_3,state_A_3_4,state_A_3_5,state_A_3_6,state_b_3,model_beta_3,state_A_4_4,state_A_4_5,state_A_4_6,state_b_4,model_beta_4,state_A_5_5,state_A_5_6,state_b_5,model_beta_5,state_A_6_6,state_b_6,model_beta_6,learner_cash_signal,target_exposure
1999-03-10,-0.047532130302832654,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-11,-0.001937824833800228,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-12,0.027081102924739753,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-15,0.022512686375366409,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-16,0.014284801483154252,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-17,-0.052176704272937746,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-18,0.032725168630928447,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-19,-0.067827913693440545,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-22,0.031251349871865175,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-23,-0.041742809372652623,,,,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-24,0.013157091642680863,,-0.015275423355435636,-0.011628127591032378,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,-0.13451775473234007,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-25,-0.01636583720815965,,-0.0062081009244600027,0.019488540613191274,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.066402198443656357,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-26,-0.014813882227722619,,-0.0038701100325028159,0.033708071428119268,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.14918980697808226,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-29,0.055969965221472018,,0.0019482407403934587,0.041262410091910784,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.21605325416152121,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-30,0.025001621246337979,,0.00050838778652950722,0.025270630365462177,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.12889509075995842,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-03-31,-0.012026749110913948,,-0.011293101060002919,0.017575128194412315,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.031410135672046979,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-01,0,,-0.019603232312554453,0.019025168337263754,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,-0.0028903198764534954,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-05,0.029511927641226565,,0.020963353606453516,0.083588398057415692,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.52275875831934604,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-06,0.032259079456813389,,0.016594769980206703,0.099135341528106213,False,False,False,False,False,,,,,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.57865055754156458,,,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-07,-0.024631877587415252,,0.055224951374170939,0.12740072181407314,False,False,False,False,False,,,,0.25999381914734843,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.91312836594122038,,0.68633064530723153,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-08,0,,0.062546477311236304,0.099071135780517849,False,False,False,False,False,,0.046315630035480337,0.086290996382041074,0.2616075024008751,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.80808806545877077,0.44202208805840471,0.54890048618371878,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-09,0.013792209966224656,,0.041505827193798694,0.066905429496166402,False,False,False,False,False,,0.035040053905166291,0.087697859289336488,0.26331477537751197,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.54205628344982548,0.40912637731500928,0.4449807209572354,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-12,0.035715198516845792,,0.060282167499877692,0.071256104046251822,False,False,False,False,False,,0.056178758846152643,0.10736608131925163,0.26446074992418289,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.65769135773064757,0.54514946721801427,0.2582343177006341,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-13,-0.046471619040895695,,0.032642146140866135,0.019813477405973279,False,False,False,False,False,,0.034653981640224929,0.06189343932795599,0.26467126607894897,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.26227811773419707,0.32182473656060306,-0.20941134980329679,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
1999-04-14,0.0079782945240223224,,0.020598439120397716,-0.0082159502676559804,False,False,False,False,False,,0.021117298901797588,0.016847057855491343,0.26468295156955718,False,False,False,False,False,False,False,False,False,True,1,1,1,1,,1,0,0,,0.061912444263708677,0.12654785585762979,0.046376053576295817,False,False,False,,False,,,False,False,0,0,0,0,0,,,,False,False,False,2500,0,0,0,0,0,0,0,,2500,0,0,0,0,0,0,,2500,0,0,0,0,0,,2500,0,0,0,0,,2500,0,0,0,,2500,0,0,,2500,0,,False,1
